Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-38, 83.804081, 7.924121, 218.232095, 0.143854, 6.206031, 0.836630, 3.029297, 181, 5438, Student
-37, 81.958646, 5.871646, 210.336542, 0.183347, 7.392242, 0.829227, 3.345703, 178, 6605, Student
-36, 82.258050, 7.734891, 261.492748, 0.195258, 6.479459, 0.808897, 2.865234, 188, 8685, Student
-35, 76.903322, 7.520113, 245.440496, 0.213483, 5.969300, 0.704871, 1.564453, 193, 2221, Student
-34, 79.443956, 9.660245, 246.227373, 0.211555, 9.044042, 0.839357, 1.892578, 134, 6213, Student
-33, 93.088316, 9.438375, 269.708844, 0.149881, 8.234552, 0.855575, 11.994141, 203, 12904, Student
-32, 81.410955, 8.855825, 5.149842, 0.142103, 7.083860, 0.918171, 11.994141, 166, 7488, Student
-31, 66.368590, 10.053821, 224.446029, 0.246921, 6.831083, 0.830166, 3.732422, 177, 6838, Student
-30, 70.287699, 11.159957, 225.660422, 0.277124, 7.184524, 0.829936, 1.845703, 182, 6034, Student
-29, 69.197866, 14.390615, 228.658093, 0.276199, 8.411451, 0.717313, 1.083984, 173, 8624, Student
-28, 72.099032, 13.151636, 242.101770, 0.174151, 7.637530, 0.850167, 1.623047, 173, 4548, Student
-27, 72.616433, 10.452918, 240.183482, 0.261334, 7.374963, 0.859554, 1.880859, 208, 8783, Student
-26, 72.478061, 11.548269, 229.351356, 0.293645, 6.458704, 0.761267, 1.400391, 174, 9209, Student
-25, 71.121861, 9.471654, 231.921079, 0.347628, 8.221441, 0.821741, 1.939453, 198, 6066, Student
-24, 70.195496, 9.773375, 226.124981, 0.249579, 6.597843, 0.884160, 2.080078, 158, 12870, Student
-23, 65.893967, 10.367862, 216.460633, 0.274824, 6.435198, 0.764848, 1.517578, 171, 6145, Student
-22, 73.208673, 13.419227, 192.034358, 0.258768, 7.455316, 0.719210, 1.306641, 182, 19317, Student
-21, 74.449077, 13.454751, 200.819358, 0.232256, 7.767789, 0.730894, 1.142578, 206, 14830, Student
-20, 77.350822, 11.972706, 225.264764, 0.265629, 7.633542, 0.694029, 1.154297, 172, 15905, Student
-19, 79.171779, 9.641563, 243.443651, 0.262956, 6.532981, 0.904504, 2.583984, 244, 10696, Student
-18, 74.962005, 13.201162, 256.186462, 0.253602, 5.965272, 0.891298, 1.634766, 288, 12382, Student
-17, 80.576172, 12.878458, 266.812265, 0.174846, 6.724026, 0.838872, 1.423828, 287, 10168, Student
-16, 83.726388, 12.040210, 277.586333, 0.238447, 10.186490, 0.897188, 11.994141, 190, 15784, Student
-15, 76.249981, 10.408447, 263.066433, 0.266745, 9.036825, 0.869197, 11.994141, 178, 6005, Student
-14, 80.018437, 12.329730, 16.507505, 0.260463, 7.108990, 0.844699, 11.994141, 165, 13279, Student
-13, 74.420871, 11.788515, 243.808013, 0.292303, 6.146481, 0.809660, 1.693359, 203, 11579, Student
-12, 83.994422, 14.141769, 1.147206, 0.221685, 8.188320, 0.789462, 11.994141, 193, 12976, Student
-11, 86.166090, 12.713551, 281.632187, 0.184387, 6.813051, 0.790389, 11.994141, 226, 14377, Student
-10, 75.317148, 13.448419, 8.605797, 0.159581, 3.921013, 0.940425, 11.994141, 252, 2737, Student
-9, 68.099483, 12.680675, 239.277011, 0.213719, 5.210517, 0.852086, 3.169922, 288, 8121, Student
-8, 78.160019, 12.254253, 253.005916, 0.241816, 9.390205, 0.786895, 2.865234, 137, 7296, Student
-7, 81.619892, 12.571377, 278.991712, 0.203544, 6.720428, 0.901726, 11.994141, 190, 10306, Student
-6, 72.768549, 14.217021, 246.967651, 0.222008, 7.782436, 0.803881, 2.302734, 175, 7641, Student
-5, 80.284672, 13.348105, 17.002832, 0.253965, 7.857423, 0.683505, 11.994141, 181, 12043, Student
-4, 84.509405, 11.687390, 272.129449, 0.213407, 8.708966, 0.714093, 2.736328, 192, 18085, Student
-3, 81.211987, 13.639268, 25.773948, 0.234566, 7.986649, 0.699157, 1.587891, 146, 7590, Student
-2, 71.676763, 14.649806, 272.352403, 0.256179, 6.431791, 0.809117, 11.994141, 162, 10310, Student
-1, 74.321985, 14.055993, 282.880488, 0.253473, 6.700260, 0.816808, 11.994141, 194, 12529, Student
0, 72.123982, 12.789391, 250.389919, 0.262342, 6.628981, 0.730041, 2.126953, 107, 7791, Student
2, 66.715606, 19.194692, 246.823720, 0.288703, 8.747436, 0.751001, 2.654297, 39, 393, Student
3, 77.063691, 10.679668, 269.387020, 0.233868, 6.720357, 0.838783, 11.994141, 197, 3556, Student
4, 79.157989, 11.159444, 2.752426, 0.211899, 8.023297, 0.693707, 11.994141, 119, 1546, Student
33, 83.876707, 10.530231, 38.700015, 0.308664, 7.960242, 0.428373, 11.994141, 74, 12467, Student
