Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-22, 77.898244, 10.136243, 215.889075, 0.285701, 5.253738, 0.549579, 0.943359, 156, 8994, Mishra et al.
-21, 72.984159, 7.822784, 208.186604, 0.325035, 4.877780, 0.697997, 1.341797, 186, 6703, Mishra et al.
-20, 73.115352, 6.833713, 214.970234, 0.355021, 5.174831, 0.636008, 1.107422, 183, 10442, Mishra et al.
-19, 76.144816, 6.188011, 193.995068, 0.323811, 5.224803, 0.631539, 1.095703, 213, 10768, Mishra et al.
-18, 79.580492, 5.758171, 192.581682, 0.317887, 6.150940, 0.575615, 1.130859, 208, 15333, Mishra et al.
-17, 77.107248, 5.584965, 179.345112, 0.258183, 4.718612, 0.698037, 1.388672, 195, 10803, Mishra et al.
-16, 78.506522, 4.649025, 181.588840, 0.253170, 4.854252, 0.644508, 1.294922, 210, 11688, Mishra et al.
-15, 81.298887, 3.256390, 179.186311, 0.230027, 5.290481, 0.626498, 1.716797, 209, 10641, Mishra et al.
-14, 76.806134, 3.243060, 171.036883, 0.294720, 5.401726, 0.573871, 2.291016, 139, 5495, Mishra et al.
-13, 78.143803, 3.690585, 191.612370, 0.290311, 6.355789, 0.717789, 1.986328, 187, 10387, Mishra et al.
-12, 79.564152, 3.067798, 186.745425, 0.252977, 5.780010, 0.562572, 2.080078, 209, 10518, Mishra et al.
-11, 78.322151, 3.054465, 185.323552, 0.300884, 5.251627, 0.552530, 1.693359, 190, 10139, Mishra et al.
-10, 77.716352, 3.503033, 177.650763, 0.247223, 5.645399, 0.661966, 1.529297, 216, 9938, Mishra et al.
-9, 77.781218, 3.707468, 176.985807, 0.273857, 5.460816, 0.632384, 1.435547, 211, 9911, Mishra et al.
-8, 80.107528, 3.122164, 187.124429, 0.275421, 5.985668, 0.645700, 1.822266, 206, 12322, Mishra et al.
-7, 72.185481, 3.495667, 206.374940, 0.318209, 5.882999, 0.683443, 2.185547, 173, 7302, Mishra et al.
-6, 68.802359, 3.923215, 222.891456, 0.325790, 5.693147, 0.651585, 1.705078, 177, 9423, Mishra et al.
-5, 74.041444, 3.433315, 206.062342, 0.308970, 4.457093, 0.714460, 2.279297, 219, 10445, Mishra et al.
-4, 72.906046, 3.326003, 229.235056, 0.240909, 4.225930, 0.826125, 2.958984, 193, 8671, Mishra et al.
-3, 76.027186, 2.686623, 203.976599, 0.267691, 4.639740, 0.670294, 3.052734, 197, 11846, Mishra et al.
-2, 77.109614, 2.967527, 203.498777, 0.347570, 5.020901, 0.457170, 1.869141, 201, 11299, Mishra et al.
-1, 76.061241, 2.252612, 177.685280, 0.332396, 4.506670, 0.574521, 3.673828, 204, 9511, Mishra et al.
0, 72.849204, 2.221894, 211.042844, 0.338436, 4.710729, 0.700275, 3.322266, 148, 6547, Mishra et al.
1, 76.671598, 1.824569, 204.442113, 0.290273, 4.285399, 0.656693, 3.603516, 185, 11339, Mishra et al.
2, 81.646562, 1.789672, 219.615038, 0.241596, 4.878084, 0.628622, 3.134766, 198, 15291, Mishra et al.
3, 88.074775, 2.304835, 223.609948, 0.171126, 4.885797, 0.861566, 3.052734, 176, 6307, Mishra et al.
4, 76.252187, 2.960696, 229.837761, 0.335987, 4.294983, 0.848845, 3.638672, 196, 3426, Mishra et al.
5, 70.588521, 2.706273, 279.920581, 0.477456, 4.770863, 0.569354, 11.994141, 198, 3653, Mishra et al.
6, 69.115717, 2.605644, 253.489552, 0.449079, 5.471716, 0.565971, 11.994141, 162, 4775, Mishra et al.
7, 68.816930, 2.927518, 192.214830, 0.498520, 4.896870, 0.518518, 1.916016, 195, 5948, Mishra et al.
8, 64.661247, 2.445909, 220.204043, 0.530284, 4.606451, 0.352440, 1.916016, 176, 6327, Mishra et al.
9, 70.357189, 2.036257, 218.993281, 0.354412, 5.137713, 0.431482, 2.490234, 93, 2736, Mishra et al.
10, 72.123068, 2.077485, 245.775576, 0.281175, 4.731898, 0.593990, 3.345703, 119, 3026, Mishra et al.
11, 71.510459, 2.436964, 232.638624, 0.297977, 4.703093, 0.709938, 2.255859, 222, 4239, Mishra et al.
12, 69.290012, 2.344668, 222.013534, 0.371883, 4.530806, 0.636669, 2.396484, 145, 2870, Mishra et al.
13, 70.012456, 3.022948, 247.934574, 0.403413, 4.433323, 0.673443, 1.880859, 175, 4409, Mishra et al.
14, 69.970771, 3.373779, 223.914326, 0.357740, 3.467321, 0.619120, 1.517578, 217, 6131, Mishra et al.
15, 69.007353, 4.184798, 231.975512, 0.322558, 3.432424, 0.618784, 1.130859, 160, 4107, Mishra et al.
16, 70.378003, 3.929207, 232.339811, 0.329882, 3.926933, 0.652291, 1.306641, 170, 5288, Mishra et al.
17, 70.115320, 4.183770, 228.602709, 0.361941, 4.158629, 0.664156, 1.353516, 176, 5200, Mishra et al.
18, 71.991658, 4.387149, 227.998565, 0.323218, 4.792819, 0.706255, 1.447266, 193, 4869, Mishra et al.
19, 73.098934, 4.086847, 223.585433, 0.287131, 4.659361, 0.623681, 1.318359, 189, 5553, Mishra et al.
