Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
260, 77.388936, 13.468032, 258.132457, 0.317166, 5.647538, 0.704199, 11.994141, 48, 3685, Student
261, 84.850683, 11.478544, 214.548543, 0.263175, 6.149496, 0.847089, 3.673828, 159, 10633, Student
262, 86.933207, 10.588215, 222.305998, 0.233915, 4.743147, 0.852454, 1.857422, 208, 10343, Student
263, 106.232740, 13.339143, 202.096705, 0.219480, 7.971888, 0.906159, 2.548828, 258, 7677, Student
264, 91.939765, 9.594570, 203.989890, 0.225783, 5.979977, 0.844140, 3.099609, 147, 6609, Student
265, 90.633925, 9.020274, 212.561034, 0.261128, 6.083019, 0.822627, 1.728516, 248, 6233, Student
266, 90.902408, 6.405843, 188.364197, 0.261073, 5.767554, 0.660120, 1.693359, 179, 5425, Student
267, 92.193451, 6.176708, 203.840667, 0.260304, 7.357949, 0.772221, 2.232422, 140, 7164, Student
268, 89.459097, 5.586603, 208.809475, 0.198187, 5.303248, 0.784449, 2.537109, 214, 10055, Student
269, 93.079523, 6.514359, 197.426734, 0.198206, 6.031392, 0.810334, 2.150391, 151, 10050, Student
270, 94.761595, 5.740907, 193.027982, 0.171560, 5.688155, 0.811798, 2.220703, 190, 8955, Student
271, 92.643871, 5.208170, 171.707205, 0.220114, 5.430855, 0.810028, 3.697266, 171, 3193, Student
272, 93.454021, 5.096071, 163.971410, 0.205903, 6.169072, 0.708154, 2.794922, 171, 8282, Student
273, 94.869052, 5.347923, 149.417685, 0.215816, 7.067626, 0.677085, 1.892578, 203, 8363, Student
274, 92.016574, 5.425760, 125.452123, 0.255762, 6.202193, 0.663691, 1.716797, 205, 6602, Student
275, 88.901348, 5.781145, 162.042309, 0.340844, 5.888711, 0.703034, 1.951172, 202, 7281, Student
276, 91.813894, 4.786501, 172.651328, 0.312609, 6.116166, 0.653762, 1.505859, 202, 9517, Student
277, 97.940461, 6.689350, 164.669906, 0.299343, 6.807166, 0.840031, 1.646484, 142, 3139, Student
278, 94.011152, 5.926813, 155.560573, 0.266291, 7.078526, 0.794658, 2.314453, 202, 7005, Student
279, 93.221108, 4.226022, 173.727677, 0.334525, 6.708346, 0.733949, 2.419922, 146, 4129, Student
280, 95.066264, 4.009519, 219.211489, 0.159654, 6.082706, 0.784918, 3.322266, 205, 18610, Student
281, 94.206914, 3.082201, 207.182392, 0.197070, 5.660748, 0.720844, 3.216797, 192, 12060, Student
282, 96.597045, 3.588159, 172.675432, 0.154970, 6.225471, 0.638502, 2.455078, 176, 12631, Student
283, 92.933980, 4.017704, 172.172700, 0.207376, 5.583435, 0.804588, 2.033203, 236, 4067, Student
284, 92.298938, 5.012033, 165.430597, 0.222766, 4.638923, 0.817356, 1.470703, 204, 6949, Student
285, 91.078842, 4.998789, 159.405838, 0.141631, 5.961677, 0.845969, 2.537109, 180, 6035, Student
286, 94.106911, 4.638076, 146.933217, 0.175892, 6.556459, 0.685781, 3.439453, 144, 7812, Student
287, 97.816070, 5.894791, 160.699167, 0.232059, 8.226412, 0.760911, 2.431641, 125, 3579, Student
288, 92.876363, 4.615051, 195.788184, 0.328155, 6.621731, 0.746854, 2.712891, 164, 4247, Student
289, 89.512585, 4.028409, 177.240930, 0.352276, 5.778918, 0.672173, 2.162109, 201, 4367, Student
290, 88.880130, 3.716998, 188.924523, 0.316713, 5.887666, 0.645789, 1.822266, 182, 7290, Student
291, 88.852220, 3.663423, 209.764188, 0.213041, 6.229362, 0.703524, 2.689453, 154, 9656, Student
292, 92.209041, 4.711282, 174.677242, 0.174727, 7.003168, 0.670004, 2.080078, 171, 6166, Student
293, 94.318248, 4.375263, 193.657158, 0.176704, 7.279795, 0.769196, 2.255859, 207, 10165, Student
294, 96.488477, 4.349129, 178.921265, 0.159563, 6.233298, 0.698042, 1.833984, 198, 8999, Student
295, 93.901569, 5.380830, 161.736065, 0.251978, 5.498726, 0.810781, 2.126953, 215, 10908, Student
296, 93.084942, 5.641581, 144.273147, 0.244970, 5.303614, 0.768782, 1.869141, 176, 6730, Student
297, 95.350524, 5.391359, 161.435848, 0.277454, 5.118424, 0.713071, 1.376953, 200, 9207, Student
298, 106.934072, 6.670234, 155.416524, 0.211775, 8.424548, 0.786497, 2.337891, 185, 9599, Student
299, 98.906280, 6.531261, 156.972233, 0.267904, 6.315047, 0.707390, 2.431641, 172, 6238, Student
300, 100.716139, 6.280753, 183.563178, 0.265122, 8.007022, 0.754524, 1.998047, 230, 12300, Student
301, 96.219158, 6.376842, 159.493575, 0.227813, 5.214636, 0.773071, 3.134766, 192, 7336, Student
302, 95.464791, 4.088665, 156.885967, 0.283346, 5.321018, 0.646369, 4.693359, 201, 6467, Student
303, 100.641831, 3.157615, 159.974514, 0.316887, 5.947585, 0.716936, 7.119141, 201, 8880, Student
304, 99.358814, 3.907744, 113.830834, 0.303458, 5.172630, 0.671441, 2.197266, 186, 6872, Student
305, 96.100631, 4.359330, 94.398251, 0.260068, 5.297130, 0.769455, 1.998047, 203, 5271, Student
306, 96.421753, 3.549195, 91.169952, 0.239447, 6.205577, 0.819279, 2.736328, 134, 6779, Student
307, 104.045725, 3.257842, 78.915049, 0.241014, 6.800390, 0.831570, 3.146484, 206, 11007, Student
308, 99.985757, 3.977381, 76.782340, 0.278371, 5.515889, 0.715239, 2.408203, 155, 7360, Student
309, 99.976034, 3.411723, 88.696393, 0.266441, 5.398850, 0.698919, 2.666016, 229, 7869, Student
310, 102.377286, 3.567279, 73.399674, 0.253444, 6.418973, 0.718656, 2.560547, 205, 12629, Student
311, 101.953903, 3.918449, 102.362321, 0.334087, 5.885066, 0.654550, 2.208984, 185, 8233, Student
312, 103.446164, 4.901291, 120.085941, 0.258599, 6.600034, 0.731900, 2.056641, 150, 6551, Student
313, 97.780877, 3.950778, 124.124558, 0.260755, 6.011838, 0.746031, 4.201172, 176, 7393, Student
314, 101.227487, 4.042745, 200.212349, 0.254608, 5.949291, 0.798003, 5.478516, 204, 12230, Student
315, 98.127424, 4.225126, 145.373038, 0.239520, 6.508617, 0.716161, 2.947266, 209, 9385, Student
316, 99.739907, 4.170867, 193.953158, 0.213991, 6.879859, 0.750633, 2.748047, 202, 10975, Student
317, 96.727305, 3.404532, 189.827635, 0.259654, 6.142535, 0.684653, 2.607422, 195, 8052, Student
318, 95.437404, 3.832676, 155.030813, 0.258957, 7.393151, 0.654729, 2.595703, 165, 6147, Student
319, 97.564066, 3.560190, 179.209430, 0.206465, 7.084069, 0.711256, 2.595703, 181, 16632, Student
320, 91.995013, 4.092767, 197.046699, 0.229129, 7.046126, 0.654825, 1.986328, 185, 14407, Student
321, 97.300014, 4.150619, 203.454340, 0.224366, 7.694322, 0.626159, 1.716797, 205, 12940, Student
322, 95.470767, 3.218032, 192.605064, 0.243445, 6.088330, 0.699332, 2.384766, 190, 9984, Student
323, 99.654763, 3.444226, 206.302100, 0.176775, 8.040218, 0.774559, 2.560547, 206, 11852, Student
324, 100.166712, 3.293475, 191.002313, 0.185004, 5.864539, 0.780794, 2.888672, 213, 11096, Student
325, 95.025757, 2.751853, 174.844740, 0.279460, 5.809746, 0.698194, 3.509766, 229, 5667, Student
326, 88.922930, 2.495115, 163.722213, 0.367504, 6.150689, 0.698646, 3.708984, 261, 4898, Student
327, 91.045759, 2.867725, 167.838307, 0.368048, 6.007886, 0.745530, 2.455078, 143, 7797, Student
328, 97.116601, 3.374164, 197.983222, 0.238208, 7.472849, 0.743794, 2.630859, 192, 10862, Student
329, 96.247599, 3.560174, 163.144105, 0.259244, 5.290660, 0.736438, 4.224609, 200, 7563, Student
330, 102.275663, 4.725386, 198.704340, 0.174961, 9.748033, 0.810176, 6.310547, 199, 10798, Student
331, 102.566678, 4.077139, 181.941807, 0.209714, 6.277891, 0.743112, 7.294922, 192, 11423, Student
332, 97.945783, 4.137276, 153.958028, 0.242885, 6.040123, 0.658429, 3.087891, 194, 6769, Student
333, 105.888645, 5.231043, 155.993148, 0.150442, 8.727861, 0.884962, 3.943359, 171, 7509, Student
334, 96.043357, 5.088366, 148.810013, 0.205565, 6.410960, 0.780036, 3.873047, 198, 12655, Student
335, 95.818599, 4.372421, 178.978029, 0.219697, 6.945438, 0.796832, 3.720703, 201, 11776, Student
336, 93.830375, 4.077092, 157.132957, 0.326365, 5.482088, 0.709045, 6.732422, 119, 5977, Student
337, 123.885662, 5.751869, 187.099829, 0.206072, 11.127046, 0.688615, 7.880859, 177, 7441, Student
338, 128.662886, 7.423276, 195.370894, 0.095865, 8.431635, 0.892240, 8.009766, 96, 4703, Student
346, 97.188680, 10.371198, 229.162010, 0.140636, 8.150879, 0.817450, 11.244141, 36, 391, Student
347, 110.671747, 7.745300, 173.336352, 0.136111, 8.891380, 0.768695, 7.447266, 187, 13908, Student
