Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
50, 86.302817, 5.657367, 266.479622, 0.120187, 6.760468, 0.924573, 11.994141, 103, 1168, Student
51, 83.539229, 5.490325, 242.851062, 0.296049, 8.130131, 0.820915, 11.994141, 186, 2206, Student
52, 77.540017, 4.223457, 224.467362, 0.330736, 6.652029, 0.773208, 11.994141, 159, 1636, Student
53, 85.852926, 4.956545, 156.199150, 0.118004, 7.121330, 0.868946, 7.880859, 179, 3981, Student
54, 84.603959, 5.979665, 216.489685, 0.225813, 10.893173, 0.782075, 6.205078, 193, 2722, Student
55, 81.447084, 6.334118, 213.901352, 0.198942, 6.792178, 0.855622, 4.318359, 186, 1743, Student
56, 78.068629, 5.819956, 223.050589, 0.269701, 7.649507, 0.788807, 3.169922, 185, 2372, Student
57, 82.274876, 5.384592, 193.692737, 0.373067, 7.504897, 0.685932, 2.361328, 172, 4260, Student
58, 83.954542, 6.586563, 186.937187, 0.269791, 8.254099, 0.844038, 2.267578, 190, 3130, Student
59, 73.721036, 6.304670, 190.248924, 0.345931, 6.589115, 0.768988, 1.904297, 187, 1380, Student
60, 77.087684, 8.053453, 198.038097, 0.496674, 7.817520, 0.859586, 1.962891, 162, 1842, Student
61, 81.733830, 10.638976, 204.295762, 0.420018, 9.427457, 0.834772, 1.845703, 171, 2809, Student
62, 81.699113, 12.955631, 209.080509, 0.309292, 7.890815, 0.820820, 1.482422, 191, 3819, Student
63, 78.682789, 10.666584, 194.551239, 0.216221, 7.393361, 0.818801, 1.833984, 183, 2450, Student
64, 76.499824, 8.489045, 184.770835, 0.325588, 5.432167, 0.810071, 2.150391, 165, 1860, Student
65, 80.349392, 8.857063, 192.770969, 0.397053, 7.137754, 0.836930, 1.962891, 180, 2514, Student
66, 80.825896, 9.592164, 206.629584, 0.350680, 8.355068, 0.861968, 2.115234, 180, 1972, Student
67, 80.679710, 6.284517, 197.432892, 0.435387, 7.066085, 0.764288, 2.291016, 207, 2572, Student
68, 81.334186, 6.666146, 197.690091, 0.433210, 7.032085, 0.852566, 2.197266, 169, 2441, Student
69, 79.370096, 8.190623, 218.419390, 0.425734, 7.864463, 0.777649, 1.904297, 166, 2222, Student
70, 82.489157, 10.047525, 212.022636, 0.229162, 8.696666, 0.881123, 2.150391, 157, 4396, Student
71, 76.443598, 8.327801, 189.943931, 0.326995, 6.549407, 0.834286, 2.830078, 196, 2358, Student
72, 76.242350, 7.207317, 190.505402, 0.322441, 7.274414, 0.768633, 2.080078, 151, 3817, Student
73, 75.731838, 7.642235, 208.515838, 0.469532, 5.735872, 0.868088, 2.197266, 171, 1965, Student
74, 80.004255, 9.084752, 211.616561, 0.486043, 8.585894, 0.842802, 2.033203, 202, 3173, Student
75, 77.985523, 7.716027, 193.983333, 0.371622, 7.257346, 0.796822, 2.103516, 180, 3782, Student
76, 90.458738, 9.336250, 189.000046, 0.140828, 6.451887, 0.898842, 2.455078, 202, 7936, Student
77, 78.554359, 7.180663, 196.471480, 0.225113, 6.724447, 0.822065, 2.443359, 185, 5952, Student
78, 79.764474, 5.184757, 196.947162, 0.250033, 6.470584, 0.808576, 2.619141, 170, 3759, Student
79, 77.642044, 4.680472, 208.295707, 0.310539, 6.417129, 0.767028, 2.583984, 181, 2655, Student
80, 79.866676, 3.953938, 216.326746, 0.317291, 4.999742, 0.834642, 3.041016, 185, 3175, Student
81, 80.504095, 3.372577, 184.011776, 0.266889, 5.617273, 0.708797, 3.580078, 185, 4844, Student
82, 79.712171, 3.175818, 212.728603, 0.309432, 5.417896, 0.723213, 2.912109, 165, 3105, Student
83, 80.754404, 2.946317, 223.041189, 0.366823, 6.278055, 0.740156, 3.216797, 180, 4095, Student
84, 83.428221, 3.099956, 190.908517, 0.321824, 6.115061, 0.700408, 3.099609, 172, 7421, Student
85, 82.053269, 3.797476, 189.682049, 0.353507, 6.072645, 0.761044, 2.173828, 192, 4777, Student
86, 81.483043, 4.196266, 184.757531, 0.290411, 6.033001, 0.764774, 1.880859, 180, 4867, Student
87, 84.081544, 5.304607, 190.212969, 0.228560, 6.543482, 0.707314, 1.599609, 185, 7041, Student
88, 85.064877, 5.328890, 186.352442, 0.246736, 6.691970, 0.721660, 1.646484, 179, 8421, Student
89, 87.741909, 5.342642, 186.009416, 0.235384, 6.032874, 0.766219, 1.599609, 185, 7206, Student
90, 87.755874, 5.099493, 191.564717, 0.259942, 5.960757, 0.702997, 1.552734, 188, 7285, Student
91, 83.063526, 4.270523, 170.884132, 0.307207, 6.156829, 0.648830, 1.939453, 184, 6669, Student
92, 77.586805, 4.665115, 188.262698, 0.363217, 5.894154, 0.700163, 1.822266, 165, 3329, Student
93, 82.734370, 3.825926, 191.495437, 0.317812, 5.763194, 0.705963, 1.951172, 189, 2060, Student
94, 82.810827, 3.428686, 211.197516, 0.341405, 6.050456, 0.632850, 2.150391, 155, 5287, Student
95, 84.433000, 3.731205, 187.289248, 0.219584, 5.953989, 0.754495, 3.017578, 157, 5556, Student
96, 84.077967, 3.911390, 196.553354, 0.348430, 5.553571, 0.752828, 2.466797, 193, 3849, Student
97, 82.414739, 4.113004, 196.871638, 0.400036, 5.378115, 0.804940, 2.244141, 176, 2822, Student
98, 85.147566, 3.814796, 202.393797, 0.300837, 6.639792, 0.709922, 2.337891, 173, 6500, Student
99, 82.475447, 3.559504, 194.075405, 0.387927, 5.758939, 0.678001, 2.185547, 189, 2583, Student
100, 82.994970, 3.644873, 195.142218, 0.261795, 6.061557, 0.697772, 2.103516, 182, 6544, Student
101, 82.830275, 4.345184, 189.134355, 0.163826, 5.994838, 0.884556, 2.279297, 193, 5414, Student
102, 82.691515, 4.857574, 187.304722, 0.265034, 6.087383, 0.736772, 2.033203, 183, 3765, Student
103, 86.326909, 6.230642, 193.244069, 0.177452, 7.049261, 0.874047, 2.080078, 189, 2977, Student
104, 84.364603, 5.847506, 207.871187, 0.272412, 6.748655, 0.801227, 2.173828, 181, 5034, Student
105, 84.871180, 6.825207, 190.033919, 0.259687, 6.079297, 0.677470, 1.458984, 184, 6120, Student
106, 79.050570, 5.945050, 195.039827, 0.306178, 6.353515, 0.702735, 1.564453, 184, 5227, Student
107, 82.886653, 5.129416, 196.480571, 0.257479, 6.233403, 0.774691, 2.162109, 146, 5655, Student
108, 83.139082, 6.413875, 172.550208, 0.287208, 5.796164, 0.770886, 1.693359, 189, 4504, Student
109, 79.491526, 6.302589, 169.259344, 0.238334, 5.209033, 0.811861, 1.587891, 179, 2330, Student
