Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
306, 76.980760, 11.536868, 220.764176, 0.200186, 7.585066, 0.680475, 1.705078, 125, 6788, Student
307, 72.704859, 8.897100, 216.196632, 0.299474, 6.942983, 0.666011, 1.541016, 168, 2474, Student
308, 79.234002, 8.564488, 208.853485, 0.256632, 8.185923, 0.660520, 1.224609, 179, 8612, Student
309, 79.854155, 10.371242, 245.303795, 0.254121, 7.908790, 0.725014, 1.833984, 178, 2382, Student
310, 81.358009, 6.142026, 244.388770, 0.261458, 7.907351, 0.795378, 2.759766, 191, 4682, Student
311, 76.504661, 6.851704, 202.418259, 0.263064, 8.047887, 0.701529, 2.150391, 194, 8029, Student
312, 80.128351, 8.126395, 199.284568, 0.362350, 8.727031, 0.680262, 1.517578, 176, 9705, Student
313, 79.775280, 9.292690, 188.315202, 0.298532, 8.563077, 0.631009, 1.201172, 188, 9439, Student
314, 86.955478, 9.246093, 225.378465, 0.259129, 8.951729, 0.585478, 1.412109, 165, 12980, Student
315, 80.573798, 7.191361, 214.816072, 0.275221, 6.967120, 0.826613, 2.443359, 207, 4267, Student
316, 78.661318, 8.436082, 201.892358, 0.348348, 7.029553, 0.731532, 1.693359, 171, 2909, Student
317, 77.906993, 8.862687, 206.433596, 0.263295, 7.273701, 0.747356, 1.306641, 196, 9818, Student
318, 76.549441, 8.827644, 199.190691, 0.298213, 7.417600, 0.738442, 1.353516, 186, 2884, Student
319, 78.355703, 10.896891, 199.663158, 0.275166, 9.132277, 0.736226, 1.341797, 174, 11706, Student
320, 77.246254, 9.590387, 199.483513, 0.249379, 7.262701, 0.741331, 1.400391, 188, 5931, Student
321, 73.916272, 11.351521, 183.299804, 0.316416, 7.562482, 0.612606, 0.978516, 179, 6718, Student
322, 80.020836, 10.409780, 210.756207, 0.203283, 6.929279, 0.830980, 2.138672, 177, 5750, Student
323, 81.173921, 6.740848, 214.938435, 0.203958, 8.120040, 0.717785, 2.255859, 179, 4418, Student
324, 79.054981, 7.242207, 218.998416, 0.239092, 7.226118, 0.772509, 1.951172, 178, 3244, Student
325, 83.432198, 6.705619, 233.253966, 0.354928, 6.885935, 0.674814, 2.021484, 155, 2509, Student
326, 84.048136, 5.427495, 215.123177, 0.275483, 8.603723, 0.705634, 2.794922, 144, 2418, Student
327, 88.022673, 4.744910, 247.537411, 0.240967, 7.974159, 0.718630, 4.740234, 176, 10413, Student
328, 90.671736, 3.859550, 234.039761, 0.250050, 7.513260, 0.705291, 5.525391, 188, 8000, Student
329, 85.434266, 3.458727, 237.121326, 0.319309, 7.411047, 0.718506, 4.001953, 173, 3436, Student
330, 85.604546, 4.466763, 206.735458, 0.306310, 8.104492, 0.680714, 3.228516, 125, 5059, Student
331, 83.070305, 5.608266, 203.686613, 0.257334, 6.921317, 0.739267, 2.033203, 196, 9993, Student
332, 85.163331, 5.977086, 201.687095, 0.140129, 6.786754, 0.783472, 2.009766, 182, 6551, Student
333, 83.984879, 6.736808, 204.436006, 0.199910, 7.998914, 0.655575, 1.576172, 181, 9464, Student
334, 81.393319, 8.333380, 188.165716, 0.245710, 9.266953, 0.588781, 1.318359, 183, 11393, Student
335, 84.915351, 6.336133, 204.455547, 0.237755, 7.930052, 0.679895, 1.787109, 165, 6202, Student
336, 85.419261, 5.902440, 202.748107, 0.274393, 8.144841, 0.677482, 1.810547, 147, 5873, Student
337, 82.647579, 6.172135, 197.785186, 0.213451, 7.055938, 0.801377, 1.880859, 171, 8391, Student
338, 80.485737, 6.528875, 199.335911, 0.286776, 6.635125, 0.701851, 1.564453, 187, 5219, Student
339, 79.470224, 6.038002, 218.398002, 0.425965, 7.477705, 0.619720, 1.740234, 119, 2159, Student
340, 82.312510, 6.899964, 216.034418, 0.368592, 8.501267, 0.550503, 1.412109, 156, 8813, Student
341, 85.620067, 4.977177, 217.075813, 0.237854, 7.769560, 0.581998, 1.810547, 188, 11592, Student
342, 83.635412, 6.468826, 212.362419, 0.273934, 7.304854, 0.679312, 1.564453, 176, 10902, Student
343, 78.989526, 6.655389, 219.427407, 0.250103, 7.020744, 0.662949, 1.482422, 176, 8079, Student
344, 76.918362, 6.985476, 212.063823, 0.495646, 6.147878, 0.739162, 1.916016, 88, 1269, Student
345, 80.640475, 5.648090, 214.238435, 0.424230, 6.806330, 0.729046, 2.044922, 183, 3991, Student
346, 87.637701, 7.188326, 251.091323, 0.273379, 7.501398, 0.683185, 2.091797, 183, 10068, Student
347, 89.723154, 8.083703, 248.611005, 0.397878, 6.627782, 0.682734, 2.208984, 28, 328, Student
