Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
22, 72.936530, 18.380980, 6.946181, 0.209244, 6.191639, 0.794767, 11.994141, 59, 1231, Student
23, 78.849868, 16.329261, 206.067332, 0.292985, 7.448480, 0.772216, 2.572266, 148, 3220, Student
24, 86.446791, 14.309073, 220.727950, 0.322401, 7.744699, 0.752426, 1.564453, 192, 4306, Student
25, 84.276315, 14.407324, 211.409986, 0.283216, 6.986313, 0.755380, 1.119141, 220, 6448, Student
26, 83.884143, 12.313347, 231.691544, 0.327839, 6.985340, 0.830682, 2.009766, 175, 8263, Student
27, 86.730101, 9.601279, 245.679596, 0.283619, 7.171417, 0.882402, 2.806641, 201, 12257, Student
28, 76.611899, 7.175998, 237.992873, 0.426742, 7.627537, 0.756730, 3.251953, 121, 3472, Student
29, 73.481333, 6.580911, 217.288571, 0.571656, 6.482032, 0.760896, 2.560547, 180, 4161, Student
30, 75.465253, 6.083009, 207.266145, 0.558821, 5.631890, 0.880963, 3.626953, 147, 3350, Student
31, 75.542737, 7.713804, 224.130077, 0.747908, 6.511068, 0.829493, 2.150391, 213, 4207, Student
32, 78.157722, 5.686660, 213.299689, 0.680913, 7.108650, 0.818635, 3.451172, 146, 4109, Student
33, 78.475072, 5.489427, 214.705349, 0.385635, 6.686762, 0.863283, 3.205078, 288, 9830, Student
34, 75.269226, 5.965014, 256.992560, 0.307435, 5.983148, 0.884718, 4.353516, 288, 6989, Student
35, 76.207002, 5.326425, 270.002758, 0.393255, 6.120943, 0.871484, 11.994141, 288, 6580, Student
36, 72.946100, 5.938616, 236.206291, 0.418922, 6.002058, 0.781087, 2.009766, 288, 6049, Student
37, 70.059854, 6.083198, 219.485462, 0.436298, 8.284144, 0.808509, 2.373047, 226, 1969, Student
38, 75.763215, 6.161268, 214.055225, 0.406282, 7.383352, 0.823462, 2.841797, 142, 4722, Student
39, 75.383094, 5.988514, 220.144268, 0.458995, 7.641606, 0.782408, 2.900391, 149, 4604, Student
40, 75.737157, 5.646925, 200.459165, 0.463186, 6.123157, 0.857184, 3.158203, 218, 3682, Student
41, 76.818615, 7.517218, 191.932988, 0.400430, 6.908760, 0.846995, 2.396484, 140, 5524, Student
42, 75.223224, 7.388122, 192.812978, 0.370300, 7.169802, 0.749808, 1.810547, 147, 3883, Student
43, 74.575593, 8.473190, 202.851840, 0.364655, 6.530085, 0.731991, 1.505859, 134, 3822, Student
44, 75.140399, 8.753217, 197.631401, 0.331072, 6.450185, 0.752871, 1.259766, 218, 5545, Student
45, 75.786864, 7.514666, 207.843153, 0.344686, 6.624136, 0.766772, 1.611328, 162, 4475, Student
46, 78.829879, 5.300205, 207.218741, 0.471353, 6.552837, 0.787957, 2.197266, 200, 5324, Student
47, 87.396029, 7.041233, 193.633685, 0.250946, 7.268306, 0.836169, 2.302734, 211, 9806, Student
48, 84.279504, 6.807537, 190.675068, 0.331798, 6.604602, 0.826562, 2.501953, 189, 2901, Student
49, 80.852110, 6.257479, 203.514545, 0.361576, 6.696378, 0.820128, 3.169922, 125, 2632, Student
50, 84.339616, 7.559614, 207.371080, 0.387928, 7.110913, 0.690085, 1.669922, 163, 8904, Student
51, 81.653504, 7.652437, 198.989246, 0.346082, 7.141020, 0.667845, 1.529297, 183, 5629, Student
52, 82.441320, 8.320187, 210.635855, 0.364468, 6.716779, 0.611229, 1.177734, 174, 4335, Student
53, 82.377955, 8.083781, 212.336500, 0.393729, 6.346019, 0.682873, 1.341797, 207, 6159, Student
54, 81.889994, 8.410518, 218.967098, 0.436643, 6.140543, 0.745176, 1.166016, 186, 1965, Student
55, 80.631455, 7.720643, 228.449324, 0.489376, 6.168454, 0.855169, 1.810547, 167, 2285, Student
56, 77.431872, 4.239562, 218.153777, 0.469626, 5.702127, 0.762589, 3.240234, 162, 2423, Student
57, 81.228611, 4.302148, 197.584151, 0.418388, 6.468307, 0.861426, 3.791016, 203, 6453, Student
58, 79.478793, 4.446784, 208.150296, 0.283117, 6.697851, 0.813305, 3.017578, 188, 6845, Student
59, 78.016645, 5.833346, 217.582727, 0.387041, 5.868779, 0.730287, 2.173828, 122, 3696, Student
60, 79.353464, 5.694740, 221.323778, 0.370495, 6.536561, 0.724743, 1.974609, 193, 7662, Student
61, 76.775476, 6.364653, 213.747076, 0.490354, 5.797372, 0.846028, 2.185547, 142, 4320, Student
62, 73.390312, 6.756518, 206.001992, 0.419590, 6.565409, 0.850060, 2.056641, 164, 5145, Student
63, 91.711678, 7.065611, 216.629018, 0.277604, 9.224625, 0.912305, 2.630859, 178, 9958, Student
64, 88.168413, 8.015739, 228.328991, 0.294460, 6.878193, 0.964483, 3.087891, 202, 4486, Student
65, 79.531815, 7.593784, 241.717567, 0.382784, 6.387492, 0.886750, 2.876953, 181, 3434, Student
66, 78.624837, 7.809101, 245.297752, 0.548888, 7.633943, 0.855593, 2.654297, 192, 4479, Student
67, 76.561625, 7.097786, 254.716757, 0.624324, 6.547595, 0.860987, 2.677734, 175, 2902, Student
68, 71.958940, 7.422045, 231.478480, 0.975302, 8.393312, 0.593726, 2.947266, 39, 777, Student
69, 84.332868, 7.953074, 245.750871, 0.310159, 8.111046, 0.865752, 10.025391, 147, 5781, Student
70, 86.208614, 8.269018, 139.583455, 0.297136, 6.402956, 0.824486, 4.189453, 227, 7523, Student
71, 88.492418, 8.797155, 147.975211, 0.309858, 7.048594, 0.846755, 2.068359, 231, 12019, Student
72, 83.896603, 8.127354, 174.267241, 0.341331, 6.940143, 0.872331, 1.892578, 225, 10807, Student
73, 83.921670, 7.308467, 178.266990, 0.304919, 7.382356, 0.842142, 1.857422, 221, 11772, Student
74, 81.715241, 7.103322, 183.285459, 0.307942, 6.995449, 0.806970, 1.716797, 194, 9640, Student
75, 84.435412, 9.015231, 204.326946, 0.334921, 6.717159, 0.811462, 2.056641, 141, 6957, Student
76, 80.862949, 8.513259, 192.416892, 0.288576, 5.942764, 0.833699, 2.267578, 121, 5914, Student
78, 76.919994, 8.497398, 189.965654, 0.424302, 4.777896, 0.742217, 3.005859, 92, 570, Student
79, 74.018754, 7.374150, 207.717980, 0.707282, 6.446527, 0.766823, 2.126953, 210, 2217, Student
80, 77.050599, 8.527836, 224.246207, 0.631842, 6.519867, 0.756767, 1.611328, 161, 2664, Student
81, 75.846136, 5.317196, 221.515622, 0.712675, 5.808164, 0.684054, 1.916016, 209, 2638, Student
82, 84.370146, 5.785836, 230.641316, 0.460609, 7.527620, 0.793204, 2.267578, 166, 5631, Student
83, 78.880430, 6.613607, 234.949006, 0.510795, 7.226335, 0.722588, 1.751953, 175, 5081, Student
84, 80.276752, 6.720805, 225.083786, 0.599376, 5.887216, 0.775970, 1.576172, 246, 2460, Student
85, 84.858514, 6.182790, 223.192922, 0.491770, 5.830918, 0.774646, 1.669922, 200, 3013, Student
86, 85.167896, 7.175036, 216.862090, 0.535204, 6.672968, 0.747272, 1.740234, 109, 1788, Student
87, 87.465244, 7.318437, 233.296546, 0.372467, 6.038377, 0.733433, 1.705078, 152, 3793, Student
88, 81.153557, 7.296990, 245.169176, 0.457439, 5.592300, 0.916724, 2.619141, 262, 1740, Student
89, 93.126922, 7.510541, 263.134870, 0.218476, 7.330302, 0.894266, 11.994141, 181, 10234, Student
90, 88.090806, 6.688247, 266.497481, 0.334896, 6.756896, 0.892571, 11.994141, 192, 12406, Student
91, 84.472973, 6.895913, 193.883775, 0.330546, 7.902823, 0.811784, 3.439453, 178, 9356, Student
92, 79.265122, 7.530752, 211.728070, 0.385629, 7.332017, 0.870924, 2.548828, 221, 3456, Student
93, 80.271384, 7.479186, 247.615887, 0.283414, 6.545628, 0.796390, 2.314453, 196, 9944, Student
94, 72.466906, 8.000109, 277.820268, 0.535301, 7.331664, 0.734381, 11.994141, 182, 3332, Student
95, 78.023516, 8.337129, 284.021444, 0.360417, 7.117291, 0.725691, 11.994141, 237, 7967, Student
96, 84.763884, 11.153251, 29.172336, 0.219566, 6.784742, 0.771750, 3.099609, 119, 9389, Student
97, 82.501999, 7.911325, 8.110497, 0.284838, 9.043130, 0.821036, 11.994141, 133, 8944, Student
98, 80.612585, 8.472654, 203.918424, 0.445886, 7.740988, 0.861670, 4.224609, 208, 4803, Student
99, 75.944594, 6.724459, 211.498581, 0.566868, 6.116479, 0.773139, 2.912109, 143, 2306, Student
100, 82.399255, 5.223117, 188.560723, 0.415341, 6.668759, 0.794618, 6.123047, 227, 5531, Student
101, 75.135325, 4.506467, 233.960632, 0.549793, 7.957046, 0.795267, 8.197266, 174, 3072, Student
102, 71.620314, 4.609047, 232.647516, 0.526780, 6.677807, 0.766766, 2.794922, 215, 3626, Student
103, 88.843828, 5.423119, 242.417440, 0.286433, 7.361251, 0.930809, 4.142578, 175, 5763, Student
104, 79.682352, 6.672897, 241.216547, 0.295793, 7.150286, 0.895601, 3.416016, 149, 5301, Student
105, 75.465136, 6.422751, 253.167863, 0.393821, 5.021605, 0.927801, 4.130859, 234, 2431, Student
106, 74.161436, 5.723059, 231.625016, 0.342616, 5.684946, 0.905044, 4.353516, 175, 1672, Student
121, 83.495334, 6.202571, 263.642716, 0.430670, 5.901497, 0.877402, 11.994141, 133, 3355, Student
122, 85.784706, 6.679926, 22.174612, 0.285812, 6.962227, 0.920899, 11.994141, 288, 2638, Student
123, 82.558743, 5.487801, 10.450635, 0.230551, 6.508864, 0.873673, 11.994141, 288, 5414, Student
124, 81.688041, 5.700656, 206.831404, 0.275251, 6.472003, 0.877979, 3.884766, 288, 13733, Student
125, 77.133241, 7.643402, 237.877175, 0.330327, 5.757039, 0.846625, 2.021484, 288, 12456, Student
126, 78.681092, 7.218478, 245.101289, 0.264648, 5.738967, 0.881619, 2.220703, 288, 9318, Student
127, 81.443495, 7.412640, 255.080166, 0.302506, 6.019639, 0.930981, 2.818359, 288, 10903, Student
128, 73.770246, 8.297615, 234.626593, 0.332651, 4.669791, 0.901843, 2.185547, 288, 3786, Student
129, 70.845255, 8.303060, 252.276384, 0.369121, 6.547695, 0.815300, 1.974609, 288, 3546, Student
130, 73.916156, 9.354662, 249.076911, 0.302421, 5.806957, 0.837332, 1.482422, 288, 9986, Student
131, 84.944712, 9.694805, 271.348381, 0.239923, 8.350489, 0.891663, 11.994141, 288, 9692, Student
132, 84.276034, 13.944042, 225.280650, 0.202953, 5.571067, 0.969386, 5.173828, 148, 1203, Student
168, 87.697582, 11.472433, 223.161158, 0.232941, 6.997771, 0.865975, 5.958984, 89, 7765, Student
