Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
22, 80.634661, 3.744701, 170.967190, 0.434462, 5.145872, 0.720851, 5.091797, 179, 3808, Student
23, 80.552026, 3.571242, 182.761557, 0.255701, 5.317757, 0.778573, 3.990234, 152, 1702, Student
24, 80.762960, 3.539492, 200.845231, 0.360573, 4.288526, 0.837623, 3.041016, 161, 1645, Student
25, 80.480005, 3.692094, 188.146134, 0.306618, 5.679446, 0.706917, 2.830078, 148, 4575, Student
26, 82.621301, 3.977811, 173.030991, 0.255265, 6.346746, 0.639974, 2.185547, 159, 5192, Student
27, 87.122200, 4.208075, 196.072782, 0.200838, 6.717597, 0.761363, 2.572266, 152, 5260, Student
28, 84.271094, 5.520447, 207.790706, 0.168700, 5.808798, 0.778704, 2.337891, 115, 3555, Student
29, 85.815621, 5.454273, 199.572955, 0.222193, 6.535201, 0.649057, 2.044922, 132, 6548, Student
30, 80.555902, 5.517769, 196.253979, 0.372584, 4.929307, 0.768688, 2.126953, 143, 1180, Student
31, 88.520522, 4.872888, 199.196978, 0.304173, 5.243740, 0.711815, 1.939453, 104, 3794, Student
32, 89.664648, 4.086090, 208.872275, 0.204338, 4.688162, 0.728434, 2.068359, 124, 6594, Student
33, 87.550404, 3.811473, 202.162510, 0.267278, 4.448886, 0.858757, 2.455078, 178, 3174, Student
34, 83.039629, 4.340008, 206.319553, 0.689977, 5.376279, 0.698993, 2.912109, 92, 642, Student
35, 95.163447, 4.827498, 195.841383, 0.235146, 6.154594, 0.782314, 3.720703, 169, 7504, Student
36, 91.690876, 4.023438, 194.773477, 0.258245, 5.759627, 0.734464, 3.755859, 109, 3365, Student
37, 89.047702, 3.920258, 206.774449, 0.299453, 5.753744, 0.689590, 2.490234, 161, 8265, Student
38, 90.954869, 5.106327, 218.245693, 0.185676, 6.706354, 0.716576, 1.951172, 191, 8826, Student
39, 88.651683, 6.428335, 220.618116, 0.214868, 5.678725, 0.825684, 2.279297, 68, 800, Student
40, 87.534059, 6.397434, 208.641222, 0.258052, 5.242639, 0.810044, 2.560547, 134, 3785, Student
41, 83.659407, 6.294804, 222.548559, 0.366104, 5.430387, 0.836070, 2.677734, 148, 1923, Student
42, 84.659898, 5.364550, 219.161448, 0.381489, 5.217837, 0.734553, 2.431641, 129, 1834, Student
43, 84.501200, 6.513938, 201.910049, 0.342891, 5.048508, 0.752795, 1.728516, 101, 3018, Student
44, 81.708686, 6.377588, 207.901538, 0.264813, 6.168584, 0.792289, 1.798828, 142, 5349, Student
45, 80.197769, 6.486632, 204.746485, 0.269158, 5.312434, 0.766511, 1.658203, 164, 3200, Student
46, 84.550423, 5.305663, 215.569197, 0.271928, 6.755010, 0.757024, 2.080078, 145, 8916, Student
47, 81.516153, 5.523529, 191.191705, 0.253565, 6.651000, 0.645394, 1.916016, 141, 4918, Student
48, 86.813359, 5.980390, 208.405904, 0.215177, 7.091214, 0.843436, 2.115234, 172, 8823, Student
49, 99.551865, 5.536989, 236.285873, 0.103616, 6.753344, 0.832739, 3.662109, 186, 15142, Student
50, 94.247221, 5.607010, 258.848649, 0.114043, 6.679785, 0.865908, 11.994141, 116, 6952, Student
51, 83.193285, 5.194669, 243.380324, 0.224135, 6.174055, 0.714839, 7.376953, 120, 3270, Student
52, 85.498396, 6.110950, 158.585389, 0.249142, 6.270398, 0.756480, 2.724609, 177, 15209, Student
53, 83.393843, 5.320042, 184.742049, 0.365272, 4.829918, 0.712415, 1.962891, 195, 5964, Student
54, 81.857296, 4.890073, 160.583025, 0.485956, 4.357057, 0.740861, 2.724609, 182, 2217, Student
55, 83.158295, 5.985587, 170.705225, 0.752844, 4.236652, 0.660715, 1.962891, 50, 358, Student
56, 85.953948, 6.560639, 183.901170, 0.365036, 6.623743, 0.740407, 2.162109, 176, 4108, Student
57, 88.047253, 6.498878, 195.920779, 0.256481, 6.839026, 0.858498, 2.162109, 152, 7042, Student
58, 86.492050, 5.574097, 201.969852, 0.254838, 5.792062, 0.872458, 2.490234, 185, 9482, Student
59, 83.148904, 4.105993, 203.534239, 0.323553, 4.936206, 0.848109, 3.416016, 191, 1756, Student
60, 82.782064, 3.624404, 190.965487, 0.288081, 4.913838, 0.773029, 2.736328, 207, 5440, Student
61, 81.787287, 3.395710, 171.422214, 0.281078, 4.885835, 0.721409, 2.419922, 181, 7456, Student
62, 80.235771, 3.530399, 195.281276, 0.251731, 4.973442, 0.782298, 2.220703, 177, 9177, Student
63, 83.653247, 3.260857, 210.929862, 0.258508, 5.454145, 0.747586, 2.361328, 197, 12004, Student
64, 80.881069, 3.129241, 214.239715, 0.370808, 6.505750, 0.730265, 2.935547, 145, 2479, Student
65, 81.351421, 2.840789, 205.645834, 0.276768, 4.710779, 0.797141, 3.873047, 187, 5435, Student
66, 84.253808, 3.413119, 194.063722, 0.314162, 6.295253, 0.828021, 2.947266, 173, 4356, Student
67, 83.606250, 3.185474, 200.744423, 0.292637, 5.035369, 0.808237, 2.572266, 196, 4850, Student
68, 83.132654, 3.518172, 194.025983, 0.296079, 5.513642, 0.822200, 2.337891, 172, 5538, Student
69, 89.197026, 3.413528, 200.259527, 0.272744, 6.561704, 0.765712, 2.384766, 195, 8290, Student
70, 84.519004, 3.086584, 209.889390, 0.246260, 5.076169, 0.772656, 2.830078, 161, 6280, Student
71, 84.030185, 2.251267, 211.197538, 0.308847, 5.403644, 0.712100, 3.580078, 189, 3894, Student
72, 84.623189, 2.437483, 213.715391, 0.266034, 6.675401, 0.732922, 3.041016, 120, 5014, Student
73, 79.773114, 2.807865, 179.318960, 0.314124, 7.070915, 0.628774, 2.736328, 180, 6023, Student
74, 80.125068, 2.694857, 183.862575, 0.248439, 6.099989, 0.684637, 2.607422, 175, 4241, Student
75, 77.392550, 2.613600, 173.323472, 0.227509, 5.955724, 0.700950, 2.689453, 188, 4926, Student
76, 77.223113, 3.369932, 195.217951, 0.217102, 5.443693, 0.751638, 2.080078, 201, 3213, Student
77, 80.009904, 3.298218, 204.881804, 0.202203, 5.448727, 0.688139, 1.998047, 195, 8958, Student
78, 79.847897, 3.179879, 188.048133, 0.272742, 6.254108, 0.636189, 2.021484, 176, 6513, Student
79, 79.754715, 3.699175, 191.779241, 0.290735, 6.336560, 0.702443, 1.904297, 185, 9102, Student
80, 77.936508, 4.021418, 183.033287, 0.129840, 4.969299, 0.817308, 2.560547, 160, 4838, Student
81, 78.441962, 3.992500, 190.910173, 0.214607, 5.665742, 0.789583, 2.443359, 135, 1716, Student
82, 79.393607, 4.009816, 190.694604, 0.283667, 6.513661, 0.655652, 1.927734, 180, 4046, Student
83, 79.618940, 4.282504, 177.378157, 0.426986, 4.844763, 0.708416, 2.208984, 129, 1772, Student
84, 78.150749, 4.073253, 168.649359, 0.381949, 5.696803, 0.725639, 2.771484, 153, 2495, Student
85, 78.017553, 4.469680, 155.957997, 0.310949, 6.226986, 0.676297, 2.384766, 161, 6532, Student
86, 75.466102, 4.534836, 176.746205, 0.262325, 5.253456, 0.699954, 1.693359, 190, 6770, Student
87, 77.177529, 4.472589, 160.590596, 0.318318, 6.018148, 0.672950, 1.775391, 188, 4584, Student
88, 79.019773, 5.024895, 160.286297, 0.337665, 6.093330, 0.689007, 1.353516, 165, 4788, Student
89, 78.113237, 4.429218, 162.546972, 0.372296, 6.054673, 0.642471, 1.435547, 192, 4630, Student
90, 81.491711, 4.035479, 177.904094, 0.279849, 6.683194, 0.719507, 1.845703, 198, 6723, Student
91, 79.786403, 3.268670, 183.400547, 0.264355, 5.715711, 0.767783, 2.068359, 191, 3595, Student
92, 83.032757, 3.601069, 188.554573, 0.320914, 7.241843, 0.642731, 2.091797, 161, 3204, Student
93, 78.816443, 3.510393, 203.792280, 0.271891, 5.569381, 0.660863, 2.056641, 183, 5524, Student
94, 82.031658, 3.002067, 209.534631, 0.252550, 6.451602, 0.633509, 2.185547, 179, 6246, Student
95, 79.943939, 3.392268, 196.815320, 0.215009, 5.784191, 0.807937, 2.431641, 162, 8345, Student
96, 79.367737, 3.593892, 158.896593, 0.290029, 5.974897, 0.627837, 2.818359, 187, 4640, Student
97, 78.533698, 3.474655, 132.620943, 0.303307, 5.102161, 0.792468, 3.650391, 184, 4143, Student
98, 79.494630, 3.175170, 138.574864, 0.238828, 5.831250, 0.787967, 5.361328, 173, 9628, Student
99, 81.682867, 2.701221, 209.157147, 0.199600, 5.097911, 0.751707, 10.833984, 183, 5669, Student
100, 79.331578, 2.673039, 182.177119, 0.255473, 5.230100, 0.682423, 3.427734, 192, 4796, Student
101, 84.187609, 2.982533, 186.214839, 0.218660, 6.306940, 0.716337, 2.419922, 189, 4872, Student
102, 83.630439, 3.182794, 184.816918, 0.222996, 5.152961, 0.763572, 2.197266, 186, 5719, Student
103, 85.915250, 3.035876, 200.504878, 0.297392, 5.817611, 0.778049, 2.572266, 163, 4525, Student
104, 87.655634, 3.164762, 197.507980, 0.365026, 5.365003, 0.693355, 2.185547, 191, 6885, Student
105, 92.634120, 3.668383, 219.678640, 0.280357, 7.106604, 0.838601, 2.947266, 190, 8358, Student
