Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-77, 87.413904, 16.183368, 157.212010, 0.201234, 4.220321, 0.475840, 6.791016, 31, 358, Student
-76, 83.142304, 10.701665, 264.748506, 0.222766, 5.134223, 0.726705, 11.994141, 168, 7854, Student
-75, 84.106617, 10.042876, 51.058712, 0.164086, 7.504112, 0.864844, 11.537109, 134, 3295, Student
-74, 85.077520, 10.471814, 62.140508, 0.275157, 6.180815, 0.914037, 11.619141, 162, 6481, Student
-73, 77.415765, 9.668022, 223.579406, 0.381495, 4.900612, 0.900653, 4.189453, 288, 2517, Student
-72, 77.364902, 9.319819, 182.969143, 0.286432, 5.718148, 0.894251, 2.701172, 287, 7370, Student
-71, 79.302382, 9.283736, 177.647569, 0.197013, 5.674003, 0.779642, 1.517578, 141, 5521, Student
-70, 77.852673, 8.979182, 166.727142, 0.200063, 7.277653, 0.885923, 2.853516, 168, 6389, Student
-69, 74.246837, 7.589000, 188.474133, 0.280201, 5.491088, 0.824616, 2.478516, 182, 2917, Student
-68, 82.158149, 6.393801, 177.584115, 0.305363, 5.482080, 0.841229, 2.455078, 191, 5698, Student
-67, 86.130943, 6.272991, 151.644170, 0.245366, 7.077051, 0.781001, 3.955078, 173, 7262, Student
-66, 80.076893, 5.236588, 146.951413, 0.315475, 5.377962, 0.743690, 4.646484, 152, 2181, Student
-65, 80.465825, 5.255255, 133.524381, 0.286390, 5.860553, 0.746387, 3.005859, 165, 6786, Student
-64, 83.123179, 5.329079, 108.467937, 0.357926, 6.223517, 0.835253, 2.642578, 175, 6016, Student
-63, 81.402087, 6.191121, 93.837858, 0.353859, 5.997295, 0.794378, 1.857422, 177, 4868, Student
-62, 79.096606, 5.782622, 111.746781, 0.414843, 5.753285, 0.735718, 1.716797, 168, 4153, Student
-61, 80.630109, 5.574518, 99.714378, 0.469162, 5.758796, 0.757642, 1.623047, 204, 4834, Student
-60, 79.072304, 5.341168, 100.034317, 0.538586, 6.204818, 0.679688, 1.669922, 159, 4349, Student
-59, 78.841880, 4.349151, 102.839042, 0.405797, 6.338834, 0.623276, 1.974609, 153, 3909, Student
-58, 81.946619, 4.853738, 109.274664, 0.341245, 6.386476, 0.744279, 1.810547, 190, 7452, Student
-57, 78.323452, 3.550192, 100.964322, 0.319210, 7.720204, 0.609926, 2.150391, 114, 8175, Student
-56, 83.088982, 4.107703, 95.030685, 0.385060, 7.908997, 0.539203, 1.810547, 173, 7584, Student
-55, 83.580506, 4.581222, 96.195932, 0.298820, 7.719142, 0.778897, 1.998047, 154, 4716, Student
-52, 80.906004, 4.657792, 87.636408, 0.457250, 4.835088, 0.714198, 2.220703, 119, 3393, Student
-51, 74.425768, 4.425500, 139.897089, 0.505341, 5.898478, 0.798622, 5.455078, 285, 3128, Student
-50, 73.477412, 5.514280, 202.369061, 0.238972, 5.366118, 0.898976, 5.572266, 274, 4488, Student
-49, 73.359332, 5.822766, 195.754925, 0.378343, 4.998466, 0.823215, 2.173828, 287, 4344, Student
-48, 76.228288, 6.540346, 190.881842, 0.335791, 6.838572, 0.854216, 2.033203, 281, 5340, Student
-47, 78.449878, 7.540110, 192.114550, 0.318947, 5.890373, 0.904267, 1.845703, 273, 6982, Student
-46, 80.491412, 7.062674, 180.205176, 0.278586, 5.840401, 0.894041, 2.279297, 182, 5732, Student
-45, 78.602507, 5.202566, 198.899276, 0.312685, 5.195327, 0.813066, 2.994141, 119, 1626, Student
-44, 80.491365, 4.790774, 168.777743, 0.447952, 6.041748, 0.715010, 2.994141, 191, 2851, Student
-43, 80.161911, 5.151583, 145.381767, 0.334370, 5.997141, 0.812745, 3.251953, 156, 3733, Student
-42, 80.950551, 5.087848, 127.526786, 0.341823, 7.263808, 0.843044, 3.205078, 161, 2887, Student
-41, 77.769055, 4.230470, 96.224989, 0.381817, 5.216651, 0.720649, 3.345703, 163, 2029, Student
-40, 80.873856, 4.541920, 96.413223, 0.335400, 6.491872, 0.784140, 2.384766, 171, 4595, Student
-39, 79.423303, 4.910310, 108.146938, 0.351101, 6.852416, 0.666777, 1.751953, 152, 5739, Student
-38, 81.861880, 3.648146, 91.662118, 0.264287, 4.946255, 0.738574, 2.478516, 175, 8419, Student
-37, 82.891357, 3.556469, 86.710972, 0.214222, 6.753737, 0.787599, 2.583984, 169, 4790, Student
-36, 85.551391, 2.921594, 73.998775, 0.227413, 6.631226, 0.744468, 3.310547, 152, 3385, Student
-35, 80.824970, 2.456574, 65.556159, 0.421038, 5.143554, 0.689826, 3.908203, 154, 1207, Student
-34, 81.821396, 2.981478, 81.315218, 0.214738, 6.178252, 0.806699, 4.083984, 106, 10024, Student
-33, 90.310355, 3.752446, 48.618269, 0.267204, 5.999698, 0.769219, 3.580078, 133, 5277, Student
-32, 87.031122, 4.381220, 100.805696, 0.372304, 5.807152, 0.684368, 2.958984, 180, 1525, Student
-31, 84.647535, 4.244002, 132.895800, 0.289493, 5.803948, 0.720990, 3.533203, 140, 3330, Student
-30, 82.834989, 3.745543, 122.049080, 0.214494, 5.774464, 0.713527, 4.259766, 158, 3992, Student
-29, 85.031035, 4.590583, 126.107633, 0.283416, 7.407822, 0.859733, 4.388672, 110, 2974, Student
-28, 82.044071, 4.288737, 108.245768, 0.223510, 5.347861, 0.840783, 5.408203, 180, 9537, Student
