Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
31, 65.734156, 3.402723, 96.367272, 0.539525, 4.458834, 0.640353, 1.904297, 220, 2971, Student
32, 69.687881, 3.350423, 83.210203, 0.273259, 4.895290, 0.866121, 3.123047, 185, 3056, Student
33, 68.645626, 2.931633, 71.399229, 0.264550, 4.885562, 0.799681, 3.181641, 171, 8921, Student
34, 66.394412, 2.416658, 53.560511, 0.372779, 4.764938, 0.661027, 2.818359, 199, 1896, Student
35, 69.313752, 2.384887, 66.817705, 0.252015, 4.744500, 0.752963, 3.732422, 190, 2854, Student
36, 69.089389, 2.588441, 36.741204, 0.254998, 4.843597, 0.825664, 5.138672, 187, 1225, Student
37, 69.110733, 2.172438, 32.219245, 0.313741, 5.220248, 0.634000, 6.521484, 198, 1552, Student
38, 69.506703, 2.735598, 33.202741, 0.438298, 4.772527, 0.846051, 8.009766, 193, 1765, Student
39, 72.984892, 3.208950, 89.311185, 0.285538, 5.317866, 0.833800, 6.322266, 175, 10616, Student
40, 71.872907, 3.170364, 53.522541, 0.262464, 5.425907, 0.766450, 4.294922, 170, 12853, Student
41, 69.952504, 3.168113, 53.156563, 0.290044, 4.803447, 0.798198, 3.404297, 190, 4849, Student
42, 71.249809, 2.903599, 287.095473, 0.288786, 4.519855, 0.692111, 11.994141, 191, 7493, Student
43, 70.694090, 3.036388, 95.313979, 0.297837, 4.729207, 0.814174, 5.841797, 188, 6896, Student
44, 71.423123, 2.873894, 76.157239, 0.290955, 4.901784, 0.795865, 3.486328, 201, 7931, Student
45, 72.254828, 2.916022, 55.448082, 0.248058, 5.047619, 0.788758, 3.087891, 189, 7283, Student
46, 73.226256, 2.474935, 52.798963, 0.264696, 5.131927, 0.762828, 3.416016, 188, 7837, Student
47, 68.049634, 2.175344, 39.312859, 0.341339, 5.296990, 0.589801, 2.935547, 182, 7127, Student
48, 72.064448, 2.383509, 32.326365, 0.310018, 6.169015, 0.800807, 4.951172, 176, 11603, Student
49, 73.145731, 2.414007, 18.081337, 0.386929, 6.745875, 0.806233, 11.994141, 167, 8406, Student
50, 74.637079, 2.527355, 211.585352, 0.293020, 6.870034, 0.734446, 10.927734, 191, 13573, Student
51, 73.207401, 2.843751, 218.173644, 0.360018, 5.981969, 0.823791, 7.013672, 182, 9260, Student
52, 72.111831, 3.209504, 132.922035, 0.581012, 4.782592, 0.808891, 8.958984, 187, 2414, Student
53, 77.781913, 3.580031, 79.775740, 0.280457, 5.951567, 0.820799, 6.544922, 199, 11069, Student
54, 77.509276, 3.675853, 272.004873, 0.273203, 5.186603, 0.759407, 11.994141, 179, 3575, Student
55, 70.573983, 4.343809, 34.825993, 0.335325, 4.640187, 0.768763, 2.818359, 192, 1611, Student
56, 68.526299, 4.647479, 32.301236, 0.360451, 5.176724, 0.736224, 1.810547, 183, 7188, Student
57, 68.868381, 4.442830, 31.152975, 0.386547, 5.425440, 0.741766, 1.787109, 174, 2926, Student
58, 70.052787, 3.900617, 35.059439, 0.349179, 5.843819, 0.714486, 1.962891, 188, 13455, Student
59, 67.702376, 4.925858, 50.141206, 0.373326, 4.693759, 0.832025, 2.080078, 195, 2591, Student
60, 72.525725, 4.705530, 39.817013, 0.239660, 5.497606, 0.896686, 2.818359, 184, 10336, Student
61, 73.293353, 3.963612, 16.954302, 0.288066, 4.770427, 0.817272, 11.994141, 188, 14556, Student
62, 68.253228, 4.218078, 51.936339, 0.390841, 4.953720, 0.717189, 3.087891, 172, 2255, Student
63, 68.680827, 4.623642, 27.996970, 0.340593, 5.350433, 0.759001, 2.208984, 192, 6292, Student
64, 69.332465, 5.152466, 11.410936, 0.355107, 5.613178, 0.790440, 11.994141, 191, 3507, Student
65, 67.946027, 4.458853, 31.438372, 0.380166, 6.015088, 0.760710, 11.994141, 185, 7544, Student
66, 66.490521, 5.873577, 41.834766, 0.443582, 5.206090, 0.750730, 8.935547, 72, 1206, Student
67, 75.332645, 4.171124, 56.168800, 0.282315, 5.680455, 0.752364, 11.994141, 184, 6873, Student
68, 73.838231, 3.009815, 14.094282, 0.266720, 5.394524, 0.763630, 11.994141, 210, 5294, Student
69, 71.625044, 3.192185, 241.284885, 0.340490, 5.791891, 0.752964, 11.033203, 177, 9998, Student
70, 69.577088, 3.410620, 20.493331, 0.438378, 5.226045, 0.745109, 11.994141, 191, 2157, Student
71, 71.303337, 3.750220, 270.574080, 0.298237, 5.016190, 0.817687, 11.994141, 201, 6078, Student
72, 70.489546, 2.747972, 24.914629, 0.266922, 4.881964, 0.756669, 11.994141, 214, 6614, Student
73, 71.557111, 2.427473, 6.063685, 0.249746, 5.020461, 0.788115, 11.994141, 210, 4817, Student
74, 75.546792, 2.634270, 175.593639, 0.225682, 5.758352, 0.775675, 8.150391, 204, 12879, Student
75, 71.681824, 2.655958, 246.922564, 0.254761, 5.968337, 0.774638, 11.994141, 168, 14131, Student
76, 68.065884, 2.872172, 15.993521, 0.378231, 4.399659, 0.804667, 11.994141, 212, 1739, Student
77, 67.676010, 2.616479, 23.411537, 0.346295, 5.008478, 0.743360, 11.994141, 190, 5948, Student
78, 70.978810, 3.135010, 271.519017, 0.288081, 6.013225, 0.774505, 11.994141, 153, 13868, Student
79, 70.362035, 3.554480, 270.046503, 0.311850, 6.185303, 0.860303, 11.994141, 207, 10366, Student
80, 71.293631, 3.065016, 264.447843, 0.289673, 5.038221, 0.745513, 11.994141, 203, 7666, Student
81, 70.595619, 3.462913, 282.896802, 0.276211, 5.854174, 0.891667, 11.994141, 187, 7169, Student
82, 67.375634, 3.378477, 52.700467, 0.324555, 4.545454, 0.810621, 9.837891, 183, 10260, Student
83, 65.555424, 3.787712, 0.669787, 0.133104, 6.026385, 0.877494, 11.994141, 204, 5933, Student
84, 64.863393, 3.040127, 231.190843, 0.193278, 4.845512, 0.733317, 4.494141, 211, 4858, Student
85, 64.250023, 3.238018, 210.590481, 0.289518, 4.418092, 0.867099, 3.615234, 266, 7756, Student
86, 71.118795, 4.440763, 233.645453, 0.112562, 7.259085, 0.920207, 4.904297, 195, 5404, Student
87, 66.504633, 4.603041, 1.757782, 0.216598, 5.174569, 0.846574, 11.994141, 201, 5514, Student
88, 75.688438, 4.953120, 109.501187, 0.208493, 7.978957, 0.727106, 6.626953, 191, 18380, Student
89, 67.502330, 5.006394, 85.050458, 0.333079, 5.637345, 0.808125, 5.302734, 143, 6070, Student
90, 63.106507, 3.627749, 39.718494, 0.563691, 4.675116, 0.785310, 10.353516, 206, 1378, Student
91, 63.043861, 2.389668, 219.785479, 0.422228, 4.350857, 0.595242, 6.638672, 188, 2227, Student
92, 65.648810, 2.520984, 282.067528, 0.315585, 6.489716, 0.551468, 11.994141, 210, 3007, Student
93, 65.267438, 2.074340, 286.523426, 0.322474, 4.433666, 0.698290, 11.994141, 179, 2783, Student
94, 69.560229, 2.650252, 5.422240, 0.323803, 5.821957, 0.818417, 11.994141, 197, 2525, Student
95, 77.623547, 3.226617, 97.440145, 0.195502, 6.597362, 0.749726, 5.583984, 194, 8648, Student
96, 72.041051, 4.188214, 94.721084, 0.397135, 4.960014, 0.890309, 5.220703, 203, 4624, Student
97, 69.188763, 3.567109, 142.768162, 0.448780, 5.053174, 0.715480, 4.283203, 220, 5032, Student
98, 66.606888, 3.303541, 184.672942, 0.417875, 4.426304, 0.763514, 2.361328, 276, 1850, Student
99, 67.595760, 2.461999, 197.388798, 0.412594, 5.936605, 0.715418, 3.029297, 195, 2851, Student
100, 66.127969, 2.144133, 209.672282, 0.399893, 5.745783, 0.715004, 3.708984, 162, 2561, Student
102, 73.455975, 2.212285, 215.028920, 0.237049, 6.280011, 0.830778, 4.341797, 181, 12447, Student
103, 68.283436, 2.436908, 256.775052, 0.355540, 5.046777, 0.816240, 11.994141, 189, 3709, Student
104, 67.667419, 2.450532, 23.034595, 0.333625, 4.345618, 0.739280, 11.994141, 216, 2225, Student
105, 69.420674, 2.929585, 7.645429, 0.303911, 4.889318, 0.753531, 11.994141, 194, 5951, Student
106, 72.942742, 2.649335, 62.061171, 0.308543, 4.802347, 0.813460, 11.841797, 198, 11500, Student
107, 73.534493, 3.546673, 81.770037, 0.229920, 5.803817, 0.788903, 3.896484, 192, 4701, Student
108, 71.934828, 4.575218, 32.566170, 0.263210, 5.595921, 0.822206, 3.697266, 178, 5663, Student
109, 74.135580, 4.633046, 57.254973, 0.315747, 5.875053, 0.800595, 2.947266, 191, 4895, Student
110, 69.658630, 4.653793, 61.112342, 0.330021, 5.737823, 0.821384, 2.431641, 186, 3908, Student
111, 66.405956, 4.065617, 49.676317, 0.273447, 5.859336, 0.785090, 2.490234, 181, 4387, Student
112, 68.457610, 4.735808, 24.530799, 0.277329, 5.735885, 0.817562, 3.509766, 180, 5950, Student
113, 66.853953, 3.893614, 82.507931, 0.304299, 4.964976, 0.707464, 4.189453, 178, 4780, Student
114, 69.492585, 3.374722, 48.677138, 0.349257, 4.917583, 0.768269, 3.626953, 197, 2464, Student
