Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
160, 82.001808, 8.691193, 173.882195, 0.261125, 7.446965, 0.586638, 5.701172, 62, 995, Student
161, 82.287571, 9.057265, 156.936380, 0.250051, 6.466329, 0.738331, 3.076172, 131, 3489, Student
162, 81.522392, 9.067982, 183.102553, 0.331268, 5.600754, 0.866840, 2.044922, 192, 3892, Student
163, 82.206919, 7.913173, 186.444049, 0.345840, 5.007124, 0.803171, 2.009766, 162, 3266, Student
164, 85.249869, 9.607015, 173.031385, 0.214423, 5.543095, 0.872881, 1.974609, 193, 10036, Student
165, 79.720294, 8.232404, 171.757805, 0.265873, 5.844495, 0.834179, 2.361328, 176, 3491, Student
166, 80.560276, 10.399138, 207.522312, 0.313361, 7.424649, 0.733315, 1.892578, 175, 3629, Student
167, 79.353738, 7.724612, 203.061594, 0.194020, 8.155990, 0.840211, 2.595703, 206, 2565, Student
168, 78.142789, 8.274943, 193.660958, 0.407546, 5.958179, 0.870613, 2.994141, 187, 4898, Student
169, 77.328978, 8.428018, 189.045026, 0.428599, 5.631975, 0.820812, 2.021484, 147, 2589, Student
170, 73.557435, 9.438413, 181.528661, 0.340816, 5.379110, 0.817785, 1.763672, 123, 2104, Student
171, 76.319845, 9.321170, 184.545048, 0.439610, 6.643537, 0.836340, 1.892578, 174, 2642, Student
172, 75.896115, 8.266234, 190.999008, 0.327073, 5.983103, 0.758223, 1.716797, 143, 2425, Student
173, 78.132012, 9.693665, 186.484305, 0.317135, 6.624595, 0.779685, 1.470703, 169, 4171, Student
174, 77.518178, 8.477407, 166.640026, 0.356553, 6.239825, 0.617757, 1.259766, 146, 3665, Student
175, 76.892201, 6.801684, 158.419923, 0.374411, 6.673605, 0.609589, 2.068359, 181, 4011, Student
176, 79.963288, 7.771883, 175.154207, 0.502057, 6.856852, 0.643629, 1.447266, 169, 4367, Student
177, 80.835442, 7.164114, 180.242181, 0.371026, 5.534895, 0.838061, 1.787109, 183, 3940, Student
178, 85.889432, 7.571630, 200.214204, 0.267328, 6.925097, 0.867202, 2.255859, 168, 6792, Student
179, 83.835167, 5.968023, 203.869910, 0.268675, 6.532732, 0.841675, 2.513672, 168, 4965, Student
180, 90.731270, 6.787864, 209.615218, 0.372677, 8.332050, 0.900790, 2.712891, 160, 7734, Student
181, 93.431630, 7.643889, 218.032236, 0.204148, 5.528296, 0.847662, 2.560547, 167, 5933, Student
182, 88.308650, 6.557170, 228.476087, 0.335384, 6.922332, 0.838664, 2.982422, 159, 5879, Student
183, 87.937828, 5.367258, 227.908670, 0.359711, 5.701512, 0.885391, 4.224609, 209, 3776, Student
184, 86.579456, 6.222524, 185.783975, 0.468553, 5.952660, 0.741751, 2.443359, 156, 2766, Student
185, 81.598591, 6.492852, 191.050477, 0.435051, 5.638333, 0.657669, 2.478516, 73, 676, Student
186, 78.150984, 7.582514, 198.406083, 0.372538, 6.384458, 0.741864, 1.787109, 171, 2237, Student
187, 82.887983, 7.518921, 179.369439, 0.354536, 5.580390, 0.711943, 1.576172, 182, 5729, Student
188, 78.240400, 5.180837, 185.593382, 0.302806, 4.638035, 0.771469, 2.162109, 211, 3030, Student
189, 81.351376, 4.654986, 197.668737, 0.341966, 5.256198, 0.880399, 2.818359, 149, 3106, Student
190, 82.522859, 3.575755, 205.881779, 0.361541, 5.513485, 0.835506, 3.123047, 196, 3617, Student
191, 77.636437, 3.951674, 194.280786, 0.520912, 6.977984, 0.757042, 2.900391, 174, 2568, Student
192, 76.373776, 4.841527, 193.637224, 0.305700, 6.271455, 0.779788, 2.115234, 185, 4157, Student
193, 84.174314, 6.156954, 179.190512, 0.302639, 6.264820, 0.779294, 1.693359, 182, 8715, Student
194, 81.492358, 4.882056, 179.649943, 0.367443, 6.643349, 0.781354, 2.267578, 177, 4167, Student
196, 75.390782, 5.025215, 172.108051, 0.324642, 5.956576, 0.839256, 2.279297, 182, 2842, Student
197, 74.960612, 5.633969, 172.318601, 0.332040, 5.115822, 0.849738, 1.787109, 171, 2417, Student
198, 78.192902, 6.868761, 160.161404, 0.251418, 6.744195, 0.789391, 2.279297, 166, 7003, Student
199, 81.317958, 6.262531, 187.663398, 0.270295, 6.698055, 0.840084, 2.583984, 180, 7129, Student
200, 86.972201, 7.395837, 186.672119, 0.284880, 6.613602, 0.853899, 2.021484, 170, 6113, Student
201, 83.642230, 7.814074, 173.883707, 0.325438, 6.145056, 0.786684, 1.669922, 174, 2983, Student
202, 81.051147, 5.280231, 167.568268, 0.308615, 6.857677, 0.649177, 2.150391, 173, 2997, Student
203, 86.098805, 4.822371, 167.251352, 0.333509, 7.783409, 0.768484, 2.548828, 170, 7888, Student
204, 86.110168, 3.946058, 162.030113, 0.288156, 5.685601, 0.783603, 4.962891, 165, 4868, Student
205, 89.632360, 4.645331, 146.973738, 0.293179, 5.880497, 0.795589, 2.619141, 186, 7938, Student
206, 82.443313, 4.483823, 124.402987, 0.407806, 6.302936, 0.787571, 3.380859, 176, 5169, Student
207, 85.727623, 3.799517, 92.332535, 0.383795, 6.948441, 0.730675, 4.494141, 172, 2455, Student
208, 86.288105, 4.267517, 95.379489, 0.206848, 6.536841, 0.794852, 4.048828, 114, 2476, Student
209, 86.078043, 4.396437, 101.643405, 0.164038, 6.063088, 0.881614, 5.220703, 146, 3877, Student
210, 83.246129, 4.867634, 101.939875, 0.267658, 5.525574, 0.783395, 2.923828, 186, 4902, Student
211, 84.168059, 4.984159, 101.528438, 0.402382, 5.782083, 0.806249, 2.841797, 162, 4289, Student
212, 82.361493, 5.024335, 97.073123, 0.403937, 6.976074, 0.767984, 2.396484, 165, 3470, Student
213, 86.773999, 5.712483, 120.958248, 0.354999, 6.437530, 0.814099, 2.736328, 176, 7051, Student
214, 83.357916, 5.166742, 150.285150, 0.382834, 6.248716, 0.791773, 3.521484, 190, 3774, Student
215, 83.245768, 5.348394, 174.025516, 0.450108, 5.439596, 0.779146, 2.314453, 167, 4733, Student
216, 80.342043, 4.498827, 187.042717, 0.429565, 6.176241, 0.755129, 2.068359, 136, 2293, Student
217, 81.197054, 4.256681, 172.522076, 0.378944, 6.975569, 0.757399, 2.126953, 191, 6422, Student
218, 87.703835, 5.173951, 191.100544, 0.282238, 7.330124, 0.821420, 2.150391, 174, 6957, Student
219, 86.638601, 5.104179, 191.859440, 0.299493, 6.093773, 0.735465, 1.751953, 213, 9120, Student
220, 86.726791, 5.959756, 171.445155, 0.337529, 6.595403, 0.738460, 1.740234, 157, 7217, Student
221, 82.225244, 5.550995, 172.025916, 0.246307, 6.577056, 0.764447, 1.763672, 193, 2242, Student
222, 84.174272, 4.964113, 177.039925, 0.288255, 6.248015, 0.701803, 1.693359, 165, 2471, Student
223, 83.313225, 5.660224, 186.748912, 0.197434, 7.335058, 0.870617, 2.173828, 117, 1432, Student
224, 84.235112, 5.822704, 171.331067, 0.270283, 5.966209, 0.869784, 2.865234, 171, 6754, Student
225, 86.863368, 5.301816, 187.315811, 0.294734, 6.915599, 0.798572, 2.443359, 166, 6758, Student
226, 79.688012, 5.016329, 154.437527, 0.355017, 6.308017, 0.745877, 3.228516, 204, 3809, Student
227, 86.159758, 6.191779, 176.298025, 0.366473, 8.655509, 0.865375, 2.572266, 174, 9076, Student
228, 81.775808, 6.245029, 179.401263, 0.217983, 6.032670, 0.812199, 2.642578, 174, 2150, Student
229, 83.050679, 5.152491, 180.471852, 0.305857, 6.578405, 0.782183, 2.619141, 162, 2850, Student
230, 81.257266, 5.451389, 191.662941, 0.295298, 6.462864, 0.819692, 2.396484, 132, 3206, Student
