Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-9, 81.419016, 21.718928, 61.922048, 0.283381, 5.273872, 0.729003, 1.037109, 99, 3012, Student
-8, 78.045052, 10.787603, 65.720967, 0.401543, 5.422642, 0.760552, 1.740234, 119, 1728, Student
-7, 73.389933, 7.646777, 74.370781, 0.403894, 5.105252, 0.907000, 3.064453, 178, 3721, Student
-6, 69.119880, 4.593597, 53.562874, 0.474311, 5.171194, 0.755975, 3.087891, 130, 2352, Student
-5, 72.716928, 4.009352, 37.152498, 0.419213, 5.836272, 0.839195, 11.994141, 129, 3389, Student
-4, 70.168686, 4.159669, 247.174665, 0.630708, 6.346077, 0.741098, 11.994141, 181, 4068, Student
-3, 69.551581, 3.317064, 204.961971, 0.466391, 4.975285, 0.755152, 11.701172, 166, 3270, Student
-2, 66.805028, 3.932978, 220.801872, 0.413713, 4.247207, 0.917692, 4.939453, 144, 3990, Student
-1, 71.100914, 4.218537, 204.197848, 0.349927, 4.466203, 0.868420, 3.755859, 121, 3813, Student
0, 68.756203, 4.069688, 203.723434, 0.458880, 4.348296, 0.871079, 3.228516, 173, 3637, Student
1, 66.661751, 4.809653, 196.874019, 0.498906, 4.927741, 0.778720, 2.021484, 154, 3273, Student
2, 63.938315, 4.220510, 203.743181, 0.546733, 4.806160, 0.689275, 1.787109, 158, 3821, Student
3, 64.269291, 4.570750, 199.664088, 0.457640, 4.508446, 0.764744, 2.138672, 105, 1147, Student
4, 67.176114, 4.014654, 178.338748, 0.428039, 4.988692, 0.541020, 1.822266, 111, 1241, Student
5, 67.254387, 4.286020, 171.878392, 0.397313, 4.509918, 0.681516, 1.822266, 161, 3842, Student
6, 64.840302, 3.585964, 176.945205, 0.640698, 4.785733, 0.653413, 1.845703, 164, 3569, Student
7, 69.471151, 3.702827, 184.269453, 0.498789, 4.917954, 0.735210, 1.775391, 139, 4146, Student
8, 70.465214, 4.552114, 191.016391, 0.443127, 5.088893, 0.707176, 1.599609, 106, 2749, Student
9, 67.726125, 4.069190, 196.013731, 0.394593, 4.679078, 0.821413, 2.068359, 199, 2392, Student
10, 65.150057, 4.011428, 206.445841, 0.405225, 4.339967, 0.670480, 1.576172, 206, 3800, Student
11, 68.749772, 4.939895, 199.706609, 0.325602, 4.469408, 0.838302, 1.728516, 161, 3231, Student
12, 67.244974, 4.569431, 212.363111, 0.457690, 4.924943, 0.721203, 1.798828, 125, 2691, Student
13, 70.525086, 5.511033, 204.865578, 0.542431, 4.289849, 0.690636, 1.458984, 108, 1339, Student
14, 69.192404, 5.105183, 187.916741, 0.471185, 4.761405, 0.825061, 2.033203, 158, 3396, Student
15, 67.807762, 5.076673, 179.214552, 0.381251, 4.759291, 0.813055, 1.892578, 195, 3165, Student
16, 74.022115, 5.354955, 189.310642, 0.366339, 4.192709, 0.939308, 2.349609, 137, 3798, Student
17, 70.083011, 5.515461, 181.353880, 0.409557, 4.273014, 0.870511, 2.208984, 131, 3194, Student
18, 69.161337, 5.520809, 200.226811, 0.388893, 5.121991, 0.829077, 2.115234, 167, 4418, Student
19, 69.716243, 4.557196, 195.187188, 0.443392, 4.593901, 0.674999, 1.564453, 196, 4430, Student
20, 69.089768, 4.077374, 191.765724, 0.421260, 4.367221, 0.740127, 1.740234, 139, 2321, Student
21, 73.239074, 4.418906, 204.039355, 0.467493, 4.567848, 0.815097, 1.927734, 155, 4506, Student
22, 73.438674, 5.154085, 191.922561, 0.277831, 4.669946, 0.781704, 1.986328, 150, 4089, Student
23, 79.159037, 5.990079, 192.810171, 0.149195, 7.250417, 0.870147, 2.455078, 172, 10348, Student
24, 70.674634, 7.287826, 195.827406, 0.310171, 5.096896, 0.845318, 2.865234, 189, 4944, Student
25, 70.097288, 6.541834, 187.564354, 0.315227, 4.572355, 0.817534, 1.740234, 155, 3730, Student
26, 71.081667, 6.113926, 179.240455, 0.344539, 5.297166, 0.736602, 1.517578, 162, 5879, Student
27, 66.965999, 4.052210, 172.694987, 0.402790, 5.034816, 0.698528, 1.892578, 189, 5510, Student
28, 65.182479, 4.068862, 184.528313, 0.435754, 5.215471, 0.632480, 1.517578, 154, 5753, Student
29, 65.725682, 4.406905, 196.646628, 0.445065, 5.678216, 0.639227, 1.400391, 180, 4889, Student
30, 69.203044, 5.063903, 200.366789, 0.299078, 5.569297, 0.756056, 1.541016, 160, 6695, Student
31, 68.729324, 4.152431, 197.129905, 0.381783, 5.062627, 0.735793, 2.021484, 121, 3183, Student
32, 68.013849, 4.323541, 173.132906, 0.342076, 4.050189, 0.718792, 1.716797, 142, 3151, Student
33, 68.850599, 4.301319, 178.345280, 0.401358, 4.903952, 0.767021, 1.798828, 121, 3045, Student
34, 68.874359, 4.344718, 170.518831, 0.413391, 5.051801, 0.635904, 1.505859, 117, 3090, Student
35, 71.517654, 4.777465, 164.081889, 0.338252, 5.795332, 0.585921, 1.529297, 152, 6082, Student
36, 67.994040, 4.566490, 175.466578, 0.382767, 5.025631, 0.636535, 1.529297, 152, 3164, Student
37, 67.557452, 4.213962, 198.641738, 0.431522, 4.460704, 0.711186, 1.728516, 161, 2683, Student
38, 66.127304, 3.722849, 185.189211, 0.464950, 3.944654, 0.743513, 2.244141, 132, 2628, Student
