Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
144, 67.946076, 4.889113, 192.451818, 0.433800, 5.152057, 0.396625, 6.064453, 98, 2483, Student
145, 68.261463, 6.061772, 221.549568, 0.394731, 6.261240, 0.850376, 4.166016, 284, 13660, Student
146, 66.603280, 8.187582, 214.709581, 0.351330, 5.406674, 0.859862, 2.091797, 286, 8592, Student
147, 70.419283, 10.649301, 222.771902, 0.287397, 6.860775, 0.859831, 1.669922, 287, 20068, Student
148, 80.177821, 7.373566, 215.750492, 0.306474, 6.451924, 0.810393, 2.091797, 199, 8904, Student
149, 73.243413, 6.647551, 203.849371, 0.264805, 6.121276, 0.853072, 2.466797, 188, 7772, Student
150, 65.565954, 7.153170, 185.206059, 0.263469, 5.881688, 0.737532, 1.751953, 174, 6513, Student
151, 71.030616, 8.118950, 211.492175, 0.267939, 5.628473, 0.761152, 1.482422, 176, 14313, Student
152, 75.169703, 7.592715, 210.588171, 0.324347, 6.773441, 0.663428, 1.353516, 175, 13164, Student
153, 75.629617, 8.304086, 240.596631, 0.288234, 6.366889, 0.807468, 2.009766, 200, 9945, Student
154, 87.576594, 9.458739, 244.955396, 0.272215, 6.513737, 0.772021, 2.173828, 50, 2686, Student
161, 73.424628, 9.332449, 233.640961, 0.302158, 5.261462, 0.833606, 2.853516, 90, 10410, Student
162, 70.115776, 12.181186, 213.290778, 0.287185, 5.379207, 0.800794, 1.130859, 287, 14857, Student
163, 65.646717, 8.947061, 200.650531, 0.384696, 4.791609, 0.779253, 1.201172, 286, 2785, Student
164, 62.589645, 10.451868, 196.090024, 0.377418, 6.243817, 0.677419, 0.896484, 286, 4890, Student
165, 63.932014, 12.098678, 188.485767, 0.296207, 5.965914, 0.887558, 1.376953, 286, 10354, Student
166, 66.853308, 12.755111, 195.771980, 0.285794, 5.183152, 0.864287, 1.154297, 286, 7984, Student
167, 67.391238, 14.152065, 187.118954, 0.326594, 6.268109, 0.809310, 0.931641, 287, 10221, Student
168, 65.191170, 14.406414, 184.204030, 0.335784, 6.773260, 0.675776, 1.236328, 95, 4432, Student
169, 73.578386, 9.500254, 187.209386, 0.295711, 7.633892, 0.777465, 2.173828, 146, 5873, Student
170, 68.807196, 5.758705, 190.389484, 0.316648, 6.936119, 0.723972, 2.337891, 173, 4997, Student
171, 64.889525, 5.134332, 184.319546, 0.371962, 6.470172, 0.590546, 1.681641, 172, 3710, Student
172, 69.544683, 6.379049, 195.373847, 0.292900, 6.001931, 0.762735, 1.517578, 184, 7712, Student
173, 71.237569, 7.933528, 190.998467, 0.337028, 6.983490, 0.695460, 1.271484, 178, 9230, Student
174, 72.966040, 7.502097, 202.404739, 0.323854, 7.194298, 0.860953, 1.986328, 174, 11249, Student
175, 78.536709, 7.129339, 232.119072, 0.230051, 7.180942, 0.867222, 3.275391, 191, 10698, Student
176, 72.141824, 4.697608, 209.464205, 0.287712, 6.125491, 0.733591, 4.693359, 173, 5863, Student
177, 66.569617, 5.179640, 180.366665, 0.426991, 6.353938, 0.663034, 2.384766, 179, 9337, Student
178, 68.666945, 6.372780, 184.109786, 0.350068, 6.979240, 0.733883, 1.587891, 186, 12913, Student
179, 64.154950, 6.468191, 171.675288, 0.298709, 5.310027, 0.726300, 1.529297, 181, 2831, Student
180, 66.791552, 8.629462, 178.266268, 0.332985, 8.639285, 0.805091, 1.787109, 63, 15571, Student
181, 77.558524, 7.811838, 201.493350, 0.205826, 7.995862, 0.872743, 3.087891, 159, 16038, Student
182, 78.665940, 8.316781, 243.854038, 0.208685, 5.591746, 0.890710, 2.994141, 286, 19494, Student
183, 72.277359, 8.217639, 261.340088, 0.238377, 5.654643, 0.899100, 2.982422, 287, 7686, Student
184, 62.345342, 9.336068, 209.752299, 0.240185, 6.400353, 0.803617, 2.197266, 242, 5740, Student
185, 63.777924, 8.104619, 219.293963, 0.303268, 6.712161, 0.757225, 2.021484, 141, 7543, Student
186, 63.672956, 9.155748, 205.459105, 0.184721, 6.058238, 0.924297, 2.349609, 287, 18458, Student
187, 68.644161, 10.994705, 215.470073, 0.224130, 6.701713, 0.912569, 1.962891, 286, 20135, Student
188, 66.555755, 8.370788, 214.508466, 0.302518, 6.119118, 0.727186, 1.751953, 172, 4831, Student
189, 75.815983, 9.549171, 224.917174, 0.293572, 8.347840, 0.851734, 1.951172, 207, 19241, Student
190, 74.565143, 8.187170, 233.111150, 0.279840, 8.960135, 0.891845, 2.806641, 171, 14513, Student
191, 62.253082, 8.028516, 184.910068, 0.297706, 6.281337, 0.786534, 3.298828, 170, 9376, Student
192, 64.267440, 10.930656, 188.808037, 0.200008, 8.418436, 0.899024, 2.595703, 74, 13039, Student
193, 70.793120, 10.022964, 181.496949, 0.253068, 7.950241, 0.844589, 2.818359, 138, 8914, Student
194, 63.985185, 8.658530, 166.396614, 0.279688, 6.083161, 0.727711, 2.525391, 168, 9829, Student
195, 64.300724, 8.143622, 173.808633, 0.336033, 5.851222, 0.744482, 1.728516, 188, 10380, Student
196, 67.785787, 8.920702, 204.106701, 0.327670, 5.436213, 0.687704, 0.990234, 191, 5740, Student
198, 60.784717, 9.768478, 196.629801, 0.330999, 5.359493, 0.693554, 1.271484, 138, 2476, Student
199, 70.364594, 8.601933, 207.445497, 0.247841, 5.938776, 0.873167, 2.126953, 185, 11366, Student
200, 75.365802, 5.607510, 211.255116, 0.218829, 6.385904, 0.810116, 2.537109, 203, 22846, Student
201, 65.429724, 6.170845, 193.444901, 0.290695, 6.561915, 0.687334, 1.775391, 192, 11751, Student
202, 67.092700, 8.103749, 190.493353, 0.293432, 8.392816, 0.723229, 1.857422, 49, 8552, Student
209, 75.834997, 6.983142, 191.529054, 0.356139, 6.231603, 0.882643, 3.052734, 194, 3949, Student
210, 71.598525, 7.634941, 198.337601, 0.208121, 5.633593, 0.908757, 2.583984, 285, 18378, Student
211, 75.159059, 6.176801, 204.003778, 0.244275, 5.397305, 0.803747, 2.208984, 175, 6959, Student
212, 72.310954, 8.175526, 206.018745, 0.274085, 6.840761, 0.911378, 2.115234, 280, 19257, Student
213, 84.229170, 8.411897, 234.954563, 0.227252, 5.986010, 0.834764, 2.115234, 186, 16402, Student
214, 81.139574, 9.237376, 246.608692, 0.233747, 5.656572, 0.779420, 1.259766, 262, 15098, Student
215, 76.300882, 7.235951, 238.151639, 0.228295, 5.981854, 0.873600, 2.408203, 172, 12327, Student
216, 69.157400, 7.425801, 170.725366, 0.253999, 5.788101, 0.705076, 2.033203, 206, 10613, Student
217, 67.388311, 8.035290, 180.323200, 0.256966, 5.601687, 0.751638, 1.435547, 185, 11060, Student
218, 70.312153, 6.940209, 193.266606, 0.281057, 5.455358, 0.871476, 1.904297, 183, 10973, Student
219, 73.787405, 7.295749, 202.384199, 0.260661, 5.955086, 0.949934, 2.326172, 193, 18480, Student
220, 71.288780, 8.707045, 190.433189, 0.222148, 7.236531, 0.917014, 2.384766, 153, 13345, Student
221, 77.374444, 8.955994, 200.386962, 0.248935, 6.769162, 0.895859, 2.255859, 184, 20119, Student
222, 76.475779, 9.240616, 198.166299, 0.212272, 6.836193, 0.935751, 2.513672, 202, 8180, Student
223, 75.682599, 8.952178, 211.054883, 0.244100, 7.529778, 0.882158, 2.361328, 194, 21483, Student
224, 74.047205, 9.494987, 219.461417, 0.289125, 6.666684, 0.914492, 2.115234, 183, 12937, Student
225, 75.185929, 9.653342, 233.613918, 0.236894, 7.091780, 0.871756, 2.068359, 193, 19656, Student
226, 76.615409, 8.607710, 236.167781, 0.255705, 7.216710, 0.922143, 2.666016, 203, 10256, Student
227, 67.822744, 8.233855, 218.088131, 0.264210, 7.092460, 0.908133, 3.533203, 180, 19488, Student
228, 62.261653, 9.966340, 210.276423, 0.271687, 5.698176, 0.924729, 2.326172, 284, 12218, Student
229, 61.193357, 9.845235, 191.024041, 0.310711, 5.755118, 0.892160, 2.021484, 271, 11754, Student
230, 66.854661, 10.421248, 205.556452, 0.292658, 6.487682, 0.956306, 2.513672, 189, 15071, Student
231, 72.791441, 9.242856, 222.618504, 0.277777, 6.373367, 0.922903, 2.935547, 178, 10327, Student
232, 76.482706, 10.277323, 230.777413, 0.224615, 7.199398, 0.919169, 2.654297, 203, 20435, Student
233, 72.498373, 8.010890, 249.089256, 0.266287, 6.257378, 0.888196, 3.169922, 193, 7509, Student
234, 65.638086, 7.855414, 222.258738, 0.347374, 7.128897, 0.872123, 3.322266, 178, 10222, Student
235, 65.874573, 8.387936, 191.222275, 0.351827, 6.634646, 0.866832, 2.818359, 187, 11902, Student
236, 63.175847, 9.081270, 181.231673, 0.346570, 6.420901, 0.824222, 1.646484, 196, 15149, Student
237, 69.764737, 9.623139, 196.693038, 0.304277, 7.512409, 0.930754, 2.302734, 195, 15475, Student
238, 70.563036, 9.454141, 201.516593, 0.245083, 5.857162, 0.946985, 2.724609, 194, 6953, Student
239, 71.568801, 9.408998, 208.920710, 0.316813, 6.511473, 0.923177, 2.478516, 189, 16275, Student
240, 69.289591, 8.168553, 224.128147, 0.263682, 5.067709, 0.922972, 3.087891, 192, 6371, Student
241, 65.082601, 8.724772, 197.641011, 0.339041, 7.333042, 0.853264, 2.888672, 190, 15008, Student
242, 61.943210, 9.365747, 199.775639, 0.363716, 6.442135, 0.827857, 1.693359, 195, 12561, Student
243, 64.268019, 9.484911, 182.811141, 0.362591, 6.208125, 0.831175, 1.751953, 157, 10804, Student
244, 67.898447, 10.019064, 199.496495, 0.281026, 6.192732, 0.929445, 2.220703, 202, 13412, Student
245, 73.325295, 8.449559, 205.818599, 0.271935, 6.502197, 0.863881, 2.185547, 183, 13314, Student
246, 71.771287, 9.631245, 224.627222, 0.231577, 6.095093, 0.795616, 1.587891, 178, 8491, Student
247, 66.574525, 10.035959, 190.706587, 0.297011, 5.354209, 0.779194, 2.408203, 137, 5151, Student
248, 61.562171, 9.494679, 161.805316, 0.321300, 5.463242, 0.693395, 1.306641, 194, 6784, Student
249, 60.843833, 10.201965, 177.678932, 0.359872, 7.004920, 0.860145, 1.634766, 177, 10079, Student
250, 64.803501, 10.417158, 174.032133, 0.369214, 6.371976, 0.854472, 1.541016, 166, 11893, Student
251, 70.402521, 9.279619, 190.876822, 0.341148, 6.477535, 0.929157, 2.583984, 188, 13588, Student
252, 76.770542, 9.679725, 229.615368, 0.299183, 6.662134, 0.894077, 2.794922, 186, 12367, Student
253, 78.127043, 7.551880, 203.707225, 0.338389, 7.008730, 0.846621, 2.970703, 204, 13565, Student
254, 64.594625, 7.244206, 165.953771, 0.350383, 5.793700, 0.797198, 3.615234, 178, 4372, Student
255, 63.874541, 8.426633, 157.178053, 0.393331, 6.554442, 0.810402, 1.845703, 187, 13277, Student
256, 68.459945, 7.598185, 183.659451, 0.317401, 6.801737, 0.903390, 2.970703, 185, 16548, Student
257, 69.208138, 6.215186, 207.981725, 0.263678, 6.441352, 0.875195, 2.912109, 200, 16296, Student
258, 68.132574, 6.443535, 263.565756, 0.277976, 5.903916, 0.744841, 4.013672, 175, 7795, Student
259, 73.999065, 6.375675, 252.540442, 0.287958, 6.912972, 0.797075, 2.490234, 202, 20259, Student
260, 83.522353, 6.302831, 252.403670, 0.287834, 7.586023, 0.812701, 2.384766, 177, 17247, Student
261, 70.654591, 6.041433, 246.189281, 0.300746, 6.292801, 0.904456, 3.427734, 159, 11662, Student
262, 62.684775, 6.466814, 191.298049, 0.327865, 6.486030, 0.839514, 3.626953, 179, 17096, Student
263, 60.389324, 6.866252, 195.660653, 0.306307, 6.382551, 0.873498, 2.548828, 183, 12897, Student
264, 63.546631, 5.758282, 205.444697, 0.279386, 7.432008, 0.783626, 2.455078, 176, 11455, Student
265, 64.269213, 6.430451, 219.564500, 0.326384, 6.207818, 0.895667, 2.408203, 193, 13005, Student
266, 66.820337, 6.187620, 253.164920, 0.315678, 6.812365, 0.688469, 2.431641, 156, 14460, Student
267, 76.222288, 6.281919, 258.525108, 0.299124, 6.685073, 0.756886, 2.302734, 172, 12038, Student
268, 75.118065, 6.363418, 285.389868, 0.353163, 5.891955, 0.811287, 11.994141, 179, 9304, Student
269, 68.706825, 6.727245, 167.538584, 0.310303, 7.178047, 0.812055, 5.724609, 187, 17314, Student
270, 65.892280, 6.579169, 192.935533, 0.337280, 6.871880, 0.732811, 1.951172, 180, 14453, Student
271, 64.311516, 6.282590, 191.749205, 0.376963, 6.104231, 0.768092, 1.693359, 180, 12479, Student
272, 71.948973, 6.862975, 204.451259, 0.299033, 7.622862, 0.913967, 2.419922, 187, 16495, Student
273, 73.706766, 6.287266, 209.842575, 0.266869, 6.050017, 0.939943, 3.474609, 200, 12631, Student
274, 68.680360, 6.963452, 258.189384, 0.206061, 5.930502, 0.825112, 2.771484, 231, 27826, Student
275, 67.627035, 5.764448, 235.305847, 0.193733, 5.984350, 0.835667, 6.837891, 168, 11056, Student
276, 66.008365, 6.088886, 150.160098, 0.263470, 5.660722, 0.786864, 3.908203, 190, 10894, Student
277, 69.503103, 6.176040, 213.067313, 0.288691, 8.218811, 0.814859, 5.337891, 183, 12160, Student
278, 75.697389, 7.727880, 241.368683, 0.275851, 7.778637, 0.837673, 2.748047, 178, 15355, Student
279, 76.089503, 7.663976, 264.656014, 0.298758, 6.535639, 0.772058, 2.431641, 181, 14366, Student
280, 78.923643, 8.295205, 264.806514, 0.263785, 6.454900, 0.805232, 1.833984, 195, 17759, Student
281, 79.092795, 8.233053, 210.768127, 0.284504, 6.800578, 0.768146, 2.443359, 228, 14618, Student
282, 67.767784, 7.686018, 174.617144, 0.248687, 5.265733, 0.793627, 3.650391, 171, 12051, Student
283, 63.847284, 7.351020, 162.412846, 0.296122, 5.852136, 0.685655, 1.576172, 199, 13399, Student
284, 63.759100, 7.510494, 180.789292, 0.293486, 6.382251, 0.800808, 1.658203, 187, 12948, Student
285, 64.706721, 8.391253, 186.956976, 0.332039, 7.015037, 0.744836, 1.318359, 188, 16111, Student
286, 66.583330, 7.437849, 193.240226, 0.288990, 6.476048, 0.867289, 1.810547, 178, 16305, Student
287, 83.684348, 8.033971, 239.887594, 0.262032, 9.718542, 0.740565, 3.251953, 192, 17303, Student
288, 85.930904, 9.387936, 272.421031, 0.216308, 5.642952, 0.927229, 11.994141, 199, 9868, Student
289, 72.812744, 8.054493, 258.022084, 0.261385, 5.344405, 0.917589, 11.994141, 183, 6118, Student
290, 65.603744, 8.793748, 168.676898, 0.292235, 5.681039, 0.868268, 3.052734, 192, 15761, Student
291, 68.831563, 8.728006, 190.985790, 0.269763, 5.692691, 0.961752, 3.228516, 194, 9077, Student
292, 70.463497, 8.037103, 205.917616, 0.243656, 6.045057, 0.942400, 3.462891, 183, 9546, Student
293, 73.320247, 8.047299, 220.823624, 0.285911, 7.267387, 0.893868, 2.935547, 191, 11923, Student
294, 84.147258, 8.500822, 279.044230, 0.280208, 7.655361, 0.791464, 11.994141, 144, 10631, Student
295, 83.409708, 7.672609, 267.624568, 0.296375, 7.608913, 0.784349, 11.994141, 183, 23037, Student
296, 77.038175, 8.387104, 60.417271, 0.317575, 6.691212, 0.785497, 5.806641, 98, 12013, Student
