Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-160, 89.180571, 10.860648, 7.298524, 0.154131, 7.293688, 0.857302, 11.994141, 205, 11204, IHS
-159, 82.662960, 8.428979, 265.065874, 0.247450, 6.990719, 0.886105, 11.994141, 167, 13141, IHS
-158, 78.877294, 8.951216, 203.248521, 0.172994, 4.785140, 0.910351, 5.232422, 280, 10409, IHS
-157, 79.737875, 7.854123, 190.086089, 0.213164, 5.474562, 0.836549, 2.736328, 176, 8257, IHS
-156, 82.242407, 6.695312, 152.153084, 0.225800, 5.488818, 0.767558, 2.466797, 221, 15197, IHS
-155, 83.765835, 5.671770, 151.020328, 0.232950, 5.661503, 0.720982, 2.419922, 200, 11088, IHS
-154, 83.789259, 5.560254, 219.080677, 0.260779, 6.578837, 0.748233, 3.123047, 208, 12168, IHS
-153, 86.860388, 4.484197, 181.341388, 0.174454, 5.808691, 0.724238, 3.099609, 212, 17284, IHS
-152, 84.864713, 4.280686, 155.031015, 0.223561, 6.006129, 0.738708, 3.732422, 182, 13202, IHS
-151, 82.782664, 4.819217, 176.597659, 0.208794, 5.130771, 0.859426, 2.771484, 171, 11468, IHS
-150, 80.071621, 4.800457, 213.239781, 0.176443, 4.938363, 0.852741, 2.537109, 249, 13225, IHS
-149, 83.803776, 6.397694, 188.407508, 0.182928, 5.731759, 0.792834, 1.927734, 176, 12433, IHS
-148, 78.405601, 5.950046, 198.060044, 0.178875, 5.391181, 0.919163, 2.654297, 187, 8574, IHS
-147, 79.488422, 3.625671, 219.042850, 0.236561, 4.616520, 0.786982, 4.494141, 214, 9602, IHS
-146, 81.337243, 3.967350, 259.303996, 0.203946, 4.681105, 0.769504, 3.345703, 220, 10179, IHS
-145, 91.437140, 3.629148, 246.523639, 0.160598, 5.992438, 0.774466, 11.994141, 173, 12306, IHS
-144, 82.945673, 2.761845, 1.446352, 0.149950, 4.908007, 0.738759, 11.994141, 213, 7287, IHS
-143, 83.105982, 3.134390, 117.462217, 0.183511, 5.348133, 0.817384, 6.603516, 198, 9893, IHS
-142, 81.656840, 2.316484, 263.748410, 0.172064, 4.554734, 0.656472, 11.994141, 222, 12206, IHS
-141, 84.013767, 2.500576, 223.735905, 0.189248, 5.290120, 0.827116, 8.912109, 212, 10264, IHS
-140, 87.018079, 3.037631, 107.301074, 0.177782, 6.664571, 0.817913, 7.435547, 220, 17420, IHS
-139, 95.297079, 3.289421, 236.223612, 0.143272, 7.757444, 0.795951, 11.994141, 184, 19750, IHS
-138, 87.118564, 3.606976, 141.081327, 0.186105, 6.044605, 0.871120, 9.076172, 188, 10895, IHS
-137, 83.901507, 3.364128, 237.850167, 0.221098, 5.486661, 0.790409, 6.193359, 216, 8636, IHS
-136, 81.237059, 2.774333, 61.336011, 0.195543, 4.967993, 0.725792, 11.970703, 229, 13783, IHS
-135, 81.964904, 2.655480, 106.094267, 0.239097, 4.613718, 0.679456, 3.076172, 236, 10652, IHS
-134, 81.415348, 2.650032, 110.459879, 0.207373, 5.385476, 0.712975, 2.361328, 230, 12789, IHS
-133, 86.346926, 2.692978, 100.551307, 0.184409, 6.444293, 0.750664, 2.408203, 229, 12416, IHS
-132, 85.247087, 3.318188, 95.463451, 0.212279, 5.177453, 0.763659, 2.033203, 228, 9880, IHS
-131, 84.802083, 4.493147, 77.486870, 0.234802, 5.082788, 0.643840, 1.412109, 243, 10381, IHS
-130, 89.153224, 4.763930, 82.599145, 0.140635, 6.925086, 0.870818, 2.818359, 176, 4907, IHS
-129, 90.318468, 5.338548, 62.916045, 0.264586, 7.112180, 0.846511, 3.568359, 217, 14496, IHS
-128, 84.166444, 5.977167, 105.429396, 0.232134, 5.428533, 0.743579, 2.443359, 224, 9108, IHS
-127, 85.484153, 4.730660, 101.505447, 0.232530, 5.649473, 0.677022, 2.091797, 227, 13722, IHS
-126, 89.217288, 4.159241, 119.881072, 0.232136, 7.045895, 0.801307, 4.740234, 185, 15324, IHS
-125, 87.485544, 4.159361, 77.273551, 0.267049, 6.394687, 0.881891, 4.904297, 245, 14874, IHS
-124, 89.261682, 6.255918, 104.299643, 0.288467, 6.311050, 0.714473, 1.669922, 212, 12344, IHS
-123, 86.526400, 3.709578, 85.074448, 0.264670, 5.769853, 0.648171, 2.501953, 234, 9005, IHS
-122, 89.685390, 4.269341, 97.800986, 0.204429, 5.634578, 0.817970, 2.173828, 237, 12895, IHS
-121, 88.746828, 5.058154, 105.778845, 0.225515, 6.049673, 0.782864, 1.810547, 207, 12281, IHS
-120, 82.511234, 4.568601, 104.834827, 0.273180, 5.006354, 0.813429, 2.220703, 179, 7091, IHS
-119, 84.457437, 4.903074, 98.494595, 0.260212, 5.782858, 0.831922, 2.115234, 180, 10830, IHS
-118, 82.456585, 4.824533, 88.771079, 0.168185, 5.112082, 0.931538, 2.748047, 221, 8819, IHS
-117, 89.686318, 5.504712, 100.107947, 0.180275, 6.657296, 0.847655, 3.076172, 139, 15266, IHS
-116, 88.400649, 5.472906, 108.193788, 0.220276, 5.521329, 0.894325, 2.759766, 213, 18573, IHS
-115, 86.903868, 4.471273, 122.863737, 0.157563, 6.742809, 0.758042, 4.775391, 132, 7461, IHS
-114, 90.782242, 5.189695, 116.827412, 0.153311, 6.529250, 0.720288, 2.373047, 128, 10119, IHS
-113, 88.759690, 4.315706, 155.114153, 0.183550, 5.889329, 0.802171, 4.998047, 196, 17780, IHS
-111, 91.637968, 5.104010, 125.836613, 0.193139, 4.733316, 0.846532, 3.955078, 143, 15089, IHS
-110, 86.724238, 4.457652, 178.178075, 0.188480, 4.337727, 0.843225, 4.013672, 193, 7692, IHS
-109, 84.832110, 4.154923, 170.772845, 0.229420, 5.694866, 0.858710, 5.384766, 214, 16380, IHS
-108, 86.257620, 4.153846, 166.385162, 0.201869, 5.044141, 0.875472, 4.248047, 242, 15487, IHS
-107, 87.117585, 4.438646, 181.477529, 0.194838, 4.884236, 0.626878, 1.904297, 198, 11016, IHS
-106, 84.994595, 4.724916, 203.983273, 0.190586, 4.702815, 0.825258, 2.162109, 222, 7428, IHS
-105, 86.225774, 4.912256, 191.647156, 0.181157, 5.461038, 0.862814, 2.302734, 229, 18709, IHS
-104, 88.829516, 5.098125, 197.297704, 0.181643, 5.938524, 0.958324, 2.630859, 210, 11857, IHS
-103, 91.886843, 4.446779, 219.831752, 0.251098, 6.697899, 0.889613, 3.521484, 288, 7079, IHS
-102, 82.511920, 5.361174, 257.319747, 0.214044, 5.238624, 0.851434, 3.568359, 282, 12357, IHS
-101, 81.106433, 6.807284, 250.475180, 0.229149, 5.164965, 0.787296, 2.220703, 158, 8412, IHS
-100, 83.114869, 6.133133, 228.765669, 0.230465, 5.373292, 0.886850, 4.072266, 214, 11426, IHS
-99, 87.431464, 6.616445, 181.279443, 0.225956, 5.603246, 0.828689, 2.302734, 246, 17965, IHS
-98, 89.510025, 8.567536, 187.739760, 0.195295, 5.571561, 0.840101, 1.775391, 131, 9360, IHS
-97, 88.508213, 7.877732, 184.828008, 0.153815, 6.141264, 0.916615, 2.220703, 193, 9019, IHS
