Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-45, 66.111147, 20.588579, 216.402238, 0.369800, 6.016687, 0.742197, 2.091797, 96, 3384, Student
-44, 71.917589, 14.553575, 213.359711, 0.351890, 6.109431, 0.669453, 0.884766, 192, 5974, Student
-43, 71.819425, 13.521241, 179.961396, 0.281559, 5.832623, 0.689480, 1.072266, 161, 7123, Student
-42, 76.424384, 8.855575, 194.281088, 0.283586, 6.387189, 0.747778, 1.412109, 190, 9126, Student
-41, 80.110116, 6.558889, 191.897015, 0.234688, 6.751157, 0.726797, 1.740234, 173, 10960, Student
-40, 75.351456, 7.727961, 221.790157, 0.259410, 7.098213, 0.736207, 1.869141, 138, 3313, Student
-39, 69.966903, 7.612272, 190.371732, 0.358456, 6.261468, 0.745388, 1.916016, 180, 3969, Student
-38, 72.598136, 7.665202, 193.367670, 0.364186, 6.207369, 0.776552, 1.564453, 181, 5877, Student
-37, 71.428818, 9.035874, 191.312463, 0.319342, 5.615730, 0.826006, 1.248047, 285, 16122, Student
-36, 71.960968, 7.076770, 188.491675, 0.277161, 5.449925, 0.795348, 1.494141, 187, 9297, Student
-35, 79.527152, 7.082904, 215.101958, 0.262038, 6.634442, 0.744531, 1.869141, 188, 25119, Student
-34, 79.959769, 7.027595, 229.870142, 0.277591, 6.974691, 0.724461, 1.365234, 255, 7240, Student
-33, 78.169136, 7.000269, 240.062081, 0.296442, 7.140094, 0.571469, 1.318359, 196, 7236, Student
-32, 73.860745, 6.932209, 243.774123, 0.266064, 6.633378, 0.815623, 2.197266, 129, 4309, Student
-31, 73.870190, 6.061603, 222.429711, 0.332004, 6.467952, 0.694270, 2.279297, 189, 6532, Student
-30, 72.208914, 4.985039, 225.311377, 0.343733, 7.005295, 0.720822, 2.654297, 152, 3283, Student
-29, 72.429675, 7.544367, 198.589264, 0.342633, 5.886042, 0.836163, 2.314453, 197, 2792, Student
-28, 72.663609, 8.288060, 200.827473, 0.281784, 5.413218, 0.887529, 1.822266, 288, 7794, Student
-27, 68.941041, 7.646507, 198.060081, 0.294257, 5.293633, 0.852003, 1.751953, 283, 7955, Student
-26, 67.708974, 9.485823, 187.396029, 0.290502, 5.186743, 0.750373, 0.966797, 288, 3377, Student
-25, 68.173532, 11.160526, 202.644776, 0.333926, 5.586478, 0.799792, 0.943359, 285, 5585, Student
-24, 68.765005, 11.630502, 201.543982, 0.248628, 5.319654, 0.826044, 1.013672, 282, 6487, Student
-23, 70.365715, 9.673084, 198.086347, 0.312624, 5.699061, 0.725476, 1.201172, 143, 1710, Student
-22, 74.775919, 8.881104, 171.774152, 0.316806, 5.510244, 0.756628, 1.447266, 192, 5809, Student
-21, 78.735483, 9.076435, 201.017467, 0.252777, 6.637033, 0.714030, 1.283203, 200, 10736, Student
-20, 74.519303, 7.381789, 212.263978, 0.329251, 6.171991, 0.778559, 1.810547, 181, 4587, Student
-19, 70.371736, 7.933379, 212.053622, 0.305734, 6.111992, 0.775150, 1.423828, 183, 5181, Student
-18, 75.489840, 7.494000, 211.579591, 0.281467, 6.275014, 0.738403, 1.318359, 199, 9061, Student
-17, 75.817000, 7.756647, 211.804985, 0.253624, 6.348814, 0.775973, 1.365234, 206, 9219, Student
-16, 80.245074, 8.716503, 225.192847, 0.294098, 8.687560, 0.748234, 1.611328, 193, 13804, Student
-15, 72.974699, 6.795477, 202.867551, 0.269993, 7.740944, 0.639536, 2.712891, 144, 6465, Student
-14, 72.408936, 6.077312, 230.018572, 0.255201, 5.985563, 0.737048, 2.419922, 173, 8056, Student
