Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-32, 85.220296, 4.891717, 182.916816, 0.407583, 4.457641, 0.736008, 1.869141, 200, 4118, Mishra et al.
-31, 84.423949, 4.775224, 201.098221, 0.334076, 4.567225, 0.729013, 1.740234, 168, 6460, Mishra et al.
-30, 84.156592, 5.461437, 210.993301, 0.438553, 4.679334, 0.852630, 1.892578, 171, 2443, Mishra et al.
-29, 81.499865, 5.096074, 207.046935, 0.393232, 5.034248, 0.800144, 1.869141, 201, 2770, Mishra et al.
-28, 92.377508, 5.322800, 193.161341, 0.226865, 5.031468, 0.907943, 2.783203, 144, 4503, Mishra et al.
-27, 88.283497, 6.108168, 163.153113, 0.269410, 5.033106, 0.735108, 2.267578, 151, 3694, Mishra et al.
-26, 89.861957, 8.372721, 162.437620, 0.273671, 5.425890, 0.803450, 1.330078, 184, 6738, Mishra et al.
-25, 83.623260, 8.041179, 170.749282, 0.300998, 5.882725, 0.791758, 1.587891, 166, 3184, Mishra et al.
-24, 79.765926, 7.742253, 176.483924, 0.324114, 5.065675, 0.739303, 1.318359, 152, 3140, Mishra et al.
-23, 84.283292, 7.946244, 180.766065, 0.321002, 5.121995, 0.801124, 1.458984, 176, 6625, Mishra et al.
-22, 79.385119, 7.209161, 184.973040, 0.334259, 4.610511, 0.797845, 1.576172, 155, 2859, Mishra et al.
-21, 83.490827, 8.068201, 177.160928, 0.311134, 5.495606, 0.857327, 1.541016, 191, 6288, Mishra et al.
-20, 84.601548, 8.451686, 179.295091, 0.195588, 5.446053, 0.886551, 1.740234, 159, 5050, Mishra et al.
-19, 82.458128, 8.308478, 182.197279, 0.225493, 5.819059, 0.846544, 1.552734, 184, 4311, Mishra et al.
-18, 82.458488, 7.494684, 181.989235, 0.312268, 6.412990, 0.705063, 1.435547, 192, 5473, Mishra et al.
-17, 81.647311, 6.837003, 184.734377, 0.456196, 5.262222, 0.695980, 1.482422, 130, 3306, Mishra et al.
-16, 84.687807, 6.713311, 177.012234, 0.378333, 5.025334, 0.811322, 1.587891, 160, 4331, Mishra et al.
-15, 83.887302, 6.400468, 193.379750, 0.337102, 5.273344, 0.859603, 1.939453, 160, 3368, Mishra et al.
-14, 83.922138, 6.790192, 188.604118, 0.310304, 5.426093, 0.840844, 1.962891, 162, 4229, Mishra et al.
-13, 83.229809, 6.373888, 193.873994, 0.355878, 4.589535, 0.798578, 1.634766, 188, 3577, Mishra et al.
-12, 82.144763, 5.804917, 211.729164, 0.373858, 5.213767, 0.731278, 1.599609, 181, 3143, Mishra et al.
-11, 84.504647, 6.193569, 198.052071, 0.334261, 6.124528, 0.800138, 1.974609, 163, 4425, Mishra et al.
-10, 84.349190, 6.624968, 208.785752, 0.309447, 4.867943, 0.792729, 1.751953, 166, 7385, Mishra et al.
-9, 86.309402, 5.670068, 204.996501, 0.346136, 4.969283, 0.692272, 1.611328, 160, 4824, Mishra et al.
-8, 88.089403, 6.074250, 185.977228, 0.300487, 5.061547, 0.789576, 2.150391, 137, 4139, Mishra et al.
-7, 87.162928, 6.816676, 178.778727, 0.319786, 5.299721, 0.760650, 1.576172, 177, 4667, Mishra et al.
-6, 87.290398, 6.241813, 197.782710, 0.257369, 4.975041, 0.767385, 1.716797, 168, 7433, Mishra et al.
