Day, Constant Vertical Shift in HR, Amplitude of Circadian Oscillation, Horizontal Shift (Phase Estimate-Raw), Heart Rate Increase per Step, Uncorrelated noise (standard deviation), Error correlation decay rate, Uncertainty in phase (80 confidence), Number of data points, Daily step count, Data source 
-16, 81.153717, 1.496145, 16.834379, 0.348014, 5.157786, 0.662339, 11.994141, 195, 5350, Mishra et al.
-15, 81.119849, 1.822339, 279.881074, 0.338149, 5.697957, 0.632890, 11.994141, 197, 3983, Mishra et al.
-14, 82.846454, 1.841893, 254.337692, 0.222716, 5.579823, 0.605484, 11.994141, 190, 7046, Mishra et al.
-13, 88.700711, 2.285623, 157.612116, 0.180786, 6.515659, 0.698292, 7.306641, 134, 17569, Mishra et al.
-12, 81.719625, 3.625489, 234.158623, 0.273861, 6.761098, 0.800232, 5.525391, 157, 5042, Mishra et al.
-11, 79.617607, 3.999884, 182.092000, 0.339912, 5.395590, 0.642862, 2.455078, 208, 3427, Mishra et al.
-10, 81.153527, 3.568960, 193.243397, 0.352543, 5.681824, 0.623777, 1.845703, 211, 6699, Mishra et al.
-9, 78.667948, 2.842418, 203.125051, 0.323664, 5.270648, 0.598359, 2.150391, 193, 8728, Mishra et al.
-8, 80.473559, 3.046989, 200.453509, 0.277737, 4.902939, 0.637071, 1.857422, 186, 7625, Mishra et al.
-7, 84.713411, 2.852215, 216.316416, 0.243906, 4.622065, 0.740698, 2.267578, 194, 6615, Mishra et al.
-6, 82.070655, 3.052318, 194.898260, 0.228152, 5.392727, 0.720166, 2.748047, 152, 5073, Mishra et al.
-5, 82.448158, 3.107711, 205.454987, 0.218333, 6.038814, 0.702739, 2.548828, 168, 5219, Mishra et al.
-4, 78.699498, 3.344898, 205.563256, 0.296372, 4.720849, 0.868414, 2.783203, 150, 1519, Mishra et al.
-3, 84.660007, 3.899446, 211.892089, 0.217702, 7.329801, 0.805144, 3.369141, 125, 9079, Mishra et al.
-2, 90.553085, 3.699466, 217.187449, 0.133721, 6.704996, 0.751653, 3.275391, 182, 21522, Mishra et al.
-1, 89.281192, 4.091643, 237.200180, 0.152041, 5.318927, 0.883567, 3.451172, 183, 15419, Mishra et al.
0, 91.218874, 4.009782, 229.034699, 0.161255, 5.542098, 0.843024, 4.013672, 122, 11379, Mishra et al.
1, 83.995547, 4.432956, 186.694106, 0.254483, 5.505106, 0.775550, 4.775391, 142, 2353, Mishra et al.
2, 88.231481, 5.357940, 169.909917, 0.328764, 5.610431, 0.813449, 2.900391, 147, 1199, Mishra et al.
3, 87.181959, 6.476354, 168.957705, 0.339477, 4.672665, 0.870437, 2.302734, 155, 976, Mishra et al.
4, 81.026821, 5.831261, 193.639183, 0.328230, 5.947195, 0.856696, 2.466797, 213, 2719, Mishra et al.
5, 83.871441, 6.317769, 177.003814, 0.195388, 5.319921, 0.770954, 1.951172, 180, 5337, Mishra et al.
6, 81.984991, 4.820966, 192.159725, 0.286629, 4.897906, 0.659024, 1.634766, 173, 2066, Mishra et al.
7, 80.246986, 4.582058, 167.182839, 0.366327, 5.180471, 0.755498, 3.146484, 178, 1982, Mishra et al.
9, 80.644982, 3.014125, 195.239077, 0.390218, 5.426561, 0.656566, 4.482422, 166, 1868, Mishra et al.
10, 85.284437, 3.577317, 105.700818, 0.228601, 5.982033, 0.772625, 7.751953, 193, 4763, Mishra et al.
11, 83.923555, 4.375204, 103.553647, 0.351594, 4.238956, 0.767473, 3.345703, 179, 1337, Mishra et al.
12, 84.147959, 3.586094, 64.142968, 0.309242, 5.210966, 0.673373, 3.357422, 151, 3116, Mishra et al.
13, 82.424793, 3.699024, 27.308649, 0.281203, 5.279077, 0.519616, 1.857422, 183, 2376, Mishra et al.
14, 85.368275, 4.950426, 40.461297, 0.338064, 5.280892, 0.617520, 1.388672, 190, 1278, Mishra et al.
15, 92.245952, 4.721538, 40.777860, 0.161172, 5.996218, 0.747541, 2.185547, 169, 4995, Mishra et al.
16, 86.136803, 3.643830, 33.176289, 0.161625, 6.315965, 0.718217, 2.677734, 175, 4654, Mishra et al.
17, 86.068078, 3.556648, 36.575579, 0.191286, 4.834396, 0.744185, 2.689453, 170, 833, Mishra et al.
18, 88.324266, 3.275886, 24.836963, 0.185641, 5.206438, 0.819780, 11.994141, 156, 4564, Mishra et al.
19, 86.261058, 3.593069, 25.951902, 0.198686, 4.755255, 0.755381, 9.193359, 179, 1379, Mishra et al.
20, 84.044745, 2.905425, 81.165625, 0.270188, 4.913672, 0.657959, 4.564453, 159, 1521, Mishra et al.
22, 84.437498, 2.873891, 102.583918, 0.237257, 4.949057, 0.674555, 4.494141, 129, 3186, Mishra et al.
23, 85.844509, 2.915566, 207.476304, 0.212193, 5.215764, 0.678991, 11.900391, 176, 6253, Mishra et al.
24, 82.265484, 2.655141, 114.758105, 0.273002, 4.249391, 0.637661, 5.443359, 182, 978, Mishra et al.
25, 87.276572, 3.529113, 214.041069, 0.155585, 5.718289, 0.868418, 11.994141, 193, 5649, Mishra et al.
26, 83.366995, 3.968192, 170.163799, 0.249865, 5.004920, 0.669725, 5.162109, 158, 1926, Mishra et al.
27, 87.219783, 4.672698, 236.593405, 0.185874, 4.634993, 0.685823, 2.396484, 176, 5108, Mishra et al.
28, 86.161950, 5.273093, 254.828668, 0.194784, 4.416232, 0.689517, 1.705078, 187, 1565, Mishra et al.
29, 93.406972, 5.660521, 262.321587, 0.158353, 5.413344, 0.864122, 2.279297, 169, 12983, Mishra et al.
30, 88.938424, 6.831578, 279.844147, 0.168332, 6.729025, 0.833849, 11.994141, 140, 6072, Mishra et al.
31, 83.910103, 4.650305, 225.097492, 0.256221, 5.123287, 0.742035, 11.994141, 188, 10518, Mishra et al.
32, 86.719361, 4.414748, 221.889922, 0.212147, 4.691917, 0.770208, 3.029297, 193, 8478, Mishra et al.
33, 82.266182, 3.831521, 195.544698, 0.254868, 4.925184, 0.701226, 2.701172, 189, 1789, Mishra et al.
